ModelGeography,SubGeography1,SubGeography2,Year,BOF+EAF+IF
INDIA,NER,AS,2041,0
INDIA,NER,NE,2041,0
INDIA,NR,DL,2041,0
INDIA,NR,HP,2041,0
INDIA,NR,HR,2041,0
INDIA,NR,JK,2041,0
INDIA,NR,PB,2041,0
INDIA,NR,RJ,2041,0
INDIA,NR,UK,2041,0
INDIA,NR,UP,2041,0
INDIA,SR,AP,2041,11.27833669
INDIA,SR,KA,2041,31.8153534
INDIA,SR,KL,2041,0
INDIA,SR,TN,2041,1.708990407
INDIA,SR,TS,2041,0
INDIA,WR,CG,2041,17.08890407
INDIA,WR,GA,2041,0
INDIA,WR,GJ,2041,10.25294244
INDIA,WR,MH,2041,17.08890407
INDIA,WR,MP,2041,0
