EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,EndUseDemandEnergy
ELECTRICITY,2022,AUTUMN,ALLDAYS,EARLY,INDIA,NR,123.18583325617298
ELECTRICITY,2022,AUTUMN,ALLDAYS,EARLY,INDIA,SR,123.77190647765175
ELECTRICITY,2022,AUTUMN,ALLDAYS,EARLY,INDIA,NER,5.05752229453038
ELECTRICITY,2022,AUTUMN,ALLDAYS,MORN,INDIA,ER,76.29240391888041
ELECTRICITY,2022,AUTUMN,ALLDAYS,MORN,INDIA,WR,169.29102292063106
ELECTRICITY,2022,AUTUMN,ALLDAYS,MORN,INDIA,NR,153.95867816117527
ELECTRICITY,2022,AUTUMN,ALLDAYS,MORN,INDIA,SR,151.1071443489551
ELECTRICITY,2022,AUTUMN,ALLDAYS,MORN,INDIA,NER,6.921805089724457
ELECTRICITY,2022,AUTUMN,ALLDAYS,MID,INDIA,ER,78.57453766811197
ELECTRICITY,2022,AUTUMN,ALLDAYS,MID,INDIA,WR,181.4734451191186
ELECTRICITY,2022,AUTUMN,ALLDAYS,MID,INDIA,NR,174.8951614065249
ELECTRICITY,2022,AUTUMN,ALLDAYS,MID,INDIA,SR,163.51123032074955
ELECTRICITY,2022,AUTUMN,ALLDAYS,MID,INDIA,NER,7.997079388893563
ELECTRICITY,2022,AUTUMN,ALLDAYS,AFTERNOON,INDIA,ER,77.3964258712706
ELECTRICITY,2022,AUTUMN,ALLDAYS,AFTERNOON,INDIA,WR,175.55939543342419
ELECTRICITY,2022,AUTUMN,ALLDAYS,AFTERNOON,INDIA,NR,168.9281545170562
ELECTRICITY,2022,AUTUMN,ALLDAYS,AFTERNOON,INDIA,SR,156.783937996047
ELECTRICITY,2022,AUTUMN,ALLDAYS,AFTERNOON,INDIA,NER,7.174998470391137
ELECTRICITY,2022,AUTUMN,ALLDAYS,EVENING,INDIA,ER,118.15164537592284
ELECTRICITY,2022,AUTUMN,ALLDAYS,EVENING,INDIA,WR,207.47633052248244
ELECTRICITY,2022,AUTUMN,ALLDAYS,EVENING,INDIA,NR,236.7065877592896
ELECTRICITY,2022,AUTUMN,ALLDAYS,EVENING,INDIA,SR,190.21523316260001
ELECTRICITY,2022,AUTUMN,ALLDAYS,EVENING,INDIA,NER,13.13842227803915
ELECTRICITY,2022,AUTUMN,ALLDAYS,NIGHT,INDIA,ER,159.88879266239502
ELECTRICITY,2022,AUTUMN,ALLDAYS,NIGHT,INDIA,WR,299.53108514368705
ELECTRICITY,2022,AUTUMN,ALLDAYS,NIGHT,INDIA,NR,292.73954170407177
ELECTRICITY,2022,AUTUMN,ALLDAYS,NIGHT,INDIA,SR,277.9762790379439
ELECTRICITY,2022,AUTUMN,ALLDAYS,NIGHT,INDIA,NER,10.894164189293425
ELECTRICITY,2022,WINTER,ALLDAYS,EARLY,INDIA,ER,55.610311754197575
ELECTRICITY,2022,WINTER,ALLDAYS,EARLY,INDIA,WR,137.5330658504672
ELECTRICITY,2022,WINTER,ALLDAYS,EARLY,INDIA,NR,113.52831897812678
ELECTRICITY,2022,WINTER,ALLDAYS,EARLY,INDIA,SR,122.15897686091392
ELECTRICITY,2022,WINTER,ALLDAYS,EARLY,INDIA,NER,4.6405221487392225
ELECTRICITY,2022,WINTER,ALLDAYS,MORN,INDIA,ER,66.36724293848584
ELECTRICITY,2022,WINTER,ALLDAYS,MORN,INDIA,WR,168.71118826871276
ELECTRICITY,2022,WINTER,ALLDAYS,MORN,INDIA,NR,125.57124751010419
ELECTRICITY,2022,WINTER,ALLDAYS,MORN,INDIA,SR,152.57428775188765
ELECTRICITY,2022,WINTER,ALLDAYS,MORN,INDIA,NER,4.690961325533742
ELECTRICITY,2022,WINTER,ALLDAYS,MID,INDIA,ER,73.75755150728394
ELECTRICITY,2022,WINTER,ALLDAYS,MID,INDIA,WR,185.13481505532104
ELECTRICITY,2022,WINTER,ALLDAYS,MID,INDIA,NR,139.8966989902931
ELECTRICITY,2022,WINTER,ALLDAYS,MID,INDIA,SR,168.61852635640827
ELECTRICITY,2022,WINTER,ALLDAYS,MID,INDIA,NER,5.869991575978404
ELECTRICITY,2022,WINTER,ALLDAYS,AFTERNOON,INDIA,ER,69.86872817631134
ELECTRICITY,2022,WINTER,ALLDAYS,AFTERNOON,INDIA,WR,178.3785975414496
ELECTRICITY,2022,WINTER,ALLDAYS,AFTERNOON,INDIA,NR,132.75926957293154
ELECTRICITY,2022,WINTER,ALLDAYS,AFTERNOON,INDIA,SR,161.90906078898908
ELECTRICITY,2022,WINTER,ALLDAYS,AFTERNOON,INDIA,NER,4.952767478759215
ELECTRICITY,2022,WINTER,ALLDAYS,EVENING,INDIA,ER,90.49030363344792
ELECTRICITY,2022,WINTER,ALLDAYS,EVENING,INDIA,WR,188.79536365120524
ELECTRICITY,2022,WINTER,ALLDAYS,EVENING,INDIA,NR,145.00165572921622
ELECTRICITY,2022,WINTER,ALLDAYS,EVENING,INDIA,SR,181.45321681414774
ELECTRICITY,2022,WINTER,ALLDAYS,EVENING,INDIA,NER,9.046863032206426
ELECTRICITY,2022,WINTER,ALLDAYS,NIGHT,INDIA,ER,119.9844413415366
ELECTRICITY,2022,WINTER,ALLDAYS,NIGHT,INDIA,WR,288.6979270247518
ELECTRICITY,2022,WINTER,ALLDAYS,NIGHT,INDIA,NR,217.59936663976265
ELECTRICITY,2022,WINTER,ALLDAYS,NIGHT,INDIA,SR,253.80139804323727
ELECTRICITY,2022,WINTER,ALLDAYS,NIGHT,INDIA,NER,8.315606875298174
ELECTRICITY,2022,SPRING,ALLDAYS,EARLY,INDIA,ER,52.58313718062583
ELECTRICITY,2022,SPRING,ALLDAYS,EARLY,INDIA,WR,132.00833177225002
ELECTRICITY,2022,SPRING,ALLDAYS,EARLY,INDIA,NR,100.43814810740949
ELECTRICITY,2022,SPRING,ALLDAYS,EARLY,INDIA,SR,122.2324119791598
ELECTRICITY,2022,SPRING,ALLDAYS,EARLY,INDIA,NER,3.1818970856649855
ELECTRICITY,2022,SPRING,ALLDAYS,MORN,INDIA,ER,70.70056201119978
ELECTRICITY,2022,SPRING,ALLDAYS,MORN,INDIA,WR,168.53163260421798
ELECTRICITY,2022,SPRING,ALLDAYS,MORN,INDIA,NR,126.4568458473811
ELECTRICITY,2022,SPRING,ALLDAYS,MORN,INDIA,SR,154.98350698172223
ELECTRICITY,2022,SPRING,ALLDAYS,MORN,INDIA,NER,4.671641392778116
ELECTRICITY,2022,SPRING,ALLDAYS,MID,INDIA,ER,77.60251867870655
ELECTRICITY,2022,SPRING,ALLDAYS,MID,INDIA,WR,184.73122024571683
ELECTRICITY,2022,SPRING,ALLDAYS,MID,INDIA,NR,146.96164964523012
ELECTRICITY,2022,SPRING,ALLDAYS,MID,INDIA,SR,169.44075488866028
ELECTRICITY,2022,SPRING,ALLDAYS,MID,INDIA,NER,6.077006116779195
ELECTRICITY,2022,SPRING,ALLDAYS,AFTERNOON,INDIA,ER,76.56020281176369
ELECTRICITY,2022,SPRING,ALLDAYS,AFTERNOON,INDIA,WR,180.31898981485006
ELECTRICITY,2022,SPRING,ALLDAYS,AFTERNOON,INDIA,NR,144.38727996592436
ELECTRICITY,2022,SPRING,ALLDAYS,AFTERNOON,INDIA,SR,164.03455391007017
ELECTRICITY,2022,SPRING,ALLDAYS,AFTERNOON,INDIA,NER,5.411098207866951
ELECTRICITY,2022,SPRING,ALLDAYS,EVENING,INDIA,ER,105.69193900960778
ELECTRICITY,2022,SPRING,ALLDAYS,EVENING,INDIA,WR,209.71632228747598
