EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,ECCostInBT_BA
ELECTRICITY,2028,SUMMER,ALLDAYS,EARLY,INDIA,NR,674.7494894731195
ELECTRICITY,2028,SUMMER,ALLDAYS,EARLY,INDIA,SR,488.42139098996466
ELECTRICITY,2028,SUMMER,ALLDAYS,EARLY,INDIA,NER,12.516206311834662
ELECTRICITY,2028,SUMMER,ALLDAYS,MORN,INDIA,ER,264.8123386928521
ELECTRICITY,2028,SUMMER,ALLDAYS,MORN,INDIA,WR,931.4121508830913
ELECTRICITY,2028,SUMMER,ALLDAYS,MORN,INDIA,NR,833.5025133137093
ELECTRICITY,2028,SUMMER,ALLDAYS,MORN,INDIA,SR,536.2415190687259
ELECTRICITY,2028,SUMMER,ALLDAYS,MORN,INDIA,NER,17.170686407205356
ELECTRICITY,2028,SUMMER,ALLDAYS,MID,INDIA,ER,270.59467448611883
ELECTRICITY,2028,SUMMER,ALLDAYS,MID,INDIA,WR,937.8177481239193
ELECTRICITY,2028,SUMMER,ALLDAYS,MID,INDIA,NR,874.4127900228474
ELECTRICITY,2028,SUMMER,ALLDAYS,MID,INDIA,SR,551.0852464823911
ELECTRICITY,2028,SUMMER,ALLDAYS,MID,INDIA,NER,21.142104348826596
ELECTRICITY,2028,SUMMER,ALLDAYS,AFTERNOON,INDIA,ER,273.8509542225313
ELECTRICITY,2028,SUMMER,ALLDAYS,AFTERNOON,INDIA,WR,877.8260738062515
ELECTRICITY,2028,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,829.5947715527113
ELECTRICITY,2028,SUMMER,ALLDAYS,AFTERNOON,INDIA,SR,486.2031429242725
ELECTRICITY,2028,SUMMER,ALLDAYS,AFTERNOON,INDIA,NER,18.893772811100764
ELECTRICITY,2028,SUMMER,ALLDAYS,EVENING,INDIA,ER,396.0293610142196
ELECTRICITY,2028,SUMMER,ALLDAYS,EVENING,INDIA,WR,1142.9363637070173
ELECTRICITY,2028,SUMMER,ALLDAYS,EVENING,INDIA,NR,1341.4065362546999
ELECTRICITY,2028,SUMMER,ALLDAYS,EVENING,INDIA,SR,638.8130140964768
ELECTRICITY,2028,SUMMER,ALLDAYS,EVENING,INDIA,NER,31.675144101818866
ELECTRICITY,2028,SUMMER,ALLDAYS,NIGHT,INDIA,ER,470.592264253281
