ModelGeography,SubGeography1,SubGeography2,Year,CC+OPC+PPC+PSC+LC3
INDIA,WR,GJ,2028,0.431857396
INDIA,WR,GJ,2029,0.474493681
INDIA,WR,GJ,2030,0.521338337
INDIA,WR,GJ,2031,0.572806622
INDIA,WR,GJ,2032,0.62856455
INDIA,WR,GJ,2033,0.688033511
INDIA,WR,GJ,2034,0.751249908
INDIA,WR,GJ,2035,0.818222976
INDIA,WR,GJ,2036,0.88963151
INDIA,WR,GJ,2037,0.967269846
INDIA,WR,GJ,2038,1.051681234
INDIA,WR,GJ,2039,1.143456263
INDIA,WR,GJ,2040,1.243236992
INDIA,WR,GJ,2041,1.351721426
INDIA,WR,MP,2022,0.270532949
INDIA,WR,MP,2023,0.285902727
INDIA,WR,MP,2024,0.301309262
INDIA,WR,MP,2025,0.332002531
INDIA,WR,MP,2026,0.365428278
INDIA,WR,MP,2027,0.40173831
INDIA,WR,MP,2028,0.441401843
INDIA,WR,MP,2029,0.484980429
INDIA,WR,MP,2030,0.532860395
INDIA,WR,MP,2031,0.585466176
INDIA,WR,MP,2032,0.642456406
INDIA,WR,MP,2033,0.703239686
INDIA,WR,MP,2034,0.767853223
INDIA,WR,MP,2035,0.836306458
INDIA,WR,MP,2036,0.909293186
INDIA,WR,MP,2037,0.988647402
INDIA,WR,MP,2038,1.074924358
INDIA,WR,MP,2039,1.1687277
INDIA,WR,MP,2040,1.270713675
INDIA,WR,MP,2041,1.381595716
INDIA,WR,CG,2022,0.170463535
INDIA,WR,CG,2023,0.180148074
INDIA,WR,CG,2024,0.189855773
INDIA,WR,CG,2025,0.209195684
INDIA,WR,CG,2026,0.230257336
INDIA,WR,CG,2027,0.253136385
INDIA,WR,CG,2028,0.278128483
INDIA,WR,CG,2029,0.305587467
INDIA,WR,CG,2030,0.335756762
INDIA,WR,CG,2031,0.368903805
INDIA,WR,CG,2032,0.404813502
INDIA,WR,CG,2033,0.443113209
INDIA,WR,CG,2034,0.483826372
INDIA,WR,CG,2035,0.526958938
INDIA,WR,CG,2036,0.572948071
INDIA,WR,CG,2037,0.622949375
INDIA,WR,CG,2038,0.677312716
INDIA,WR,CG,2039,0.736418453
INDIA,WR,CG,2040,0.800680089
INDIA,WR,CG,2041,0.87054716
INDIA,SR,AP,2022,0.435202599
INDIA,SR,AP,2023,0.459927747
INDIA,SR,AP,2024,0.484712026
INDIA,SR,AP,2025,0.534087862
INDIA,SR,AP,2026,0.587859397
INDIA,SR,AP,2027,0.646270841
INDIA,SR,AP,2028,0.710077016
INDIA,SR,AP,2029,0.780181282
INDIA,SR,AP,2030,0.857205119
INDIA,SR,AP,2031,0.941831309
INDIA,SR,AP,2032,1.033510701
INDIA,SR,AP,2033,1.131291919
INDIA,SR,AP,2034,1.235234819
INDIA,SR,AP,2035,1.345354587
INDIA,SR,AP,2036,1.462767324
INDIA,SR,AP,2037,1.590423348
INDIA,SR,AP,2038,1.729215891
INDIA,SR,AP,2039,1.880116025
INDIA,SR,AP,2040,2.044179447
INDIA,SR,AP,2041,2.222553846
INDIA,SR,KA,2022,0.3171202
INDIA,SR,KA,2023,0.335136737
INDIA,SR,KA,2024,0.353196362
INDIA,SR,KA,2025,0.38917518
INDIA,SR,KA,2026,0.428357022
INDIA,SR,KA,2027,0.47091984
INDIA,SR,KA,2028,0.51741365
INDIA,SR,KA,2029,0.568496706
INDIA,SR,KA,2030,0.624621864
INDIA,SR,KA,2031,0.686286648
INDIA,SR,KA,2032,0.753090907
INDIA,SR,KA,2033,0.824341399
INDIA,SR,KA,2034,0.90008174
