EnergyService,EnergyCarrier,ConsumerType1,ModelGeography,SubGeography1,SubGeography2,Year,Season,DayType,DaySlice,BaseYearDemand
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,UP,2020,SPRING,ALLDAYS,EARLY,4.72652166
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,UP,2020,SPRING,ALLDAYS,MORN,5.612744472
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,UP,2020,SPRING,ALLDAYS,MID,5.908152076
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,UP,2020,SPRING,ALLDAYS,AFTERNOON,5.908152076
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,UP,2020,SPRING,ALLDAYS,EVENING,7.582128497
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,UK,2020,SUMMER,ALLDAYS,NIGHT,1.125416527
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,UK,2020,SUMMER,ALLDAYS,EARLY,0.675249916
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,UK,2020,SUMMER,ALLDAYS,MORN,0.801859276
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,UK,2020,SUMMER,ALLDAYS,MID,0.844062396
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,UK,2020,SUMMER,ALLDAYS,AFTERNOON,0.844062396
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,UK,2020,SUMMER,ALLDAYS,EVENING,1.083213408
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,UK,2020,MONSOON,ALLDAYS,NIGHT,1.125416527
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,UK,2020,MONSOON,ALLDAYS,EARLY,0.675249916
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,UK,2020,MONSOON,ALLDAYS,MORN,0.801859276
OTHER_ALL,ELECTRICITY,ALL,INDIA,NR,UK,2020,MONSOON,ALLDAYS,MID,0.844062396
