ServiceTech,ConsumerType1,ConsumerType2,ModelGeography,SubGeography1,SubGeography2,Year,NumInstances
LIGHT_ELEC,RURAL,Q1,INDIA,NR,RJ,2022,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,RJ,2023,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,RJ,2024,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,RJ,2025,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,RJ,2026,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,RJ,2027,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,RJ,2028,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,RJ,2029,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,RJ,2030,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,RJ,2031,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,SR,TN,2021,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,SR,TN,2022,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,SR,TN,2023,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,SR,TN,2024,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,SR,TN,2025,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,SR,TN,2026,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,SR,TN,2027,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,SR,TN,2028,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,SR,TN,2029,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,SR,TN,2030,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,SR,TN,2031,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,SR,TS,2021,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,SR,TS,2022,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,SR,TS,2023,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,SR,TS,2024,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,SR,TS,2025,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,SR,TS,2026,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,SR,TS,2027,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,SR,TS,2028,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,SR,TS,2029,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,SR,TS,2030,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,SR,TS,2031,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,UK,2021,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,UK,2022,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,UK,2023,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,UK,2024,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,UK,2025,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,UK,2026,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,UK,2027,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,UK,2028,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,UK,2029,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,UK,2030,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,UK,2031,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,UP,2021,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,UP,2022,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,UP,2023,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,UP,2024,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,UP,2025,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,UP,2026,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,UP,2027,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,UP,2028,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,UP,2029,2.444308284
LIGHT_ELEC,RURAL,Q1,INDIA,NR,UP,2030,2.444308284
