Year,ModelGeography,SubGeography1,SubGeography2,OPC+PPC+PSC+CC+LC3
2030,INDIA,SR,KL,0.201434341
2031,INDIA,SR,KL,0.207322102
2032,INDIA,SR,KL,0.213241926
2033,INDIA,SR,KL,0.219226529
2034,INDIA,SR,KL,0.225373541
2035,INDIA,SR,KL,0.231684952
2036,INDIA,SR,KL,0.238167136
2037,INDIA,SR,KL,0.244824068
2038,INDIA,SR,KL,0.251789958
2039,INDIA,SR,KL,0.25897397
2040,INDIA,SR,KL,0.266382186
2041,INDIA,SR,KL,0.274021042
2022,INDIA,SR,TN,7.027485178
2023,INDIA,SR,TN,7.426737267
2024,INDIA,SR,TN,7.826944483
2025,INDIA,SR,TN,8.067744691
2026,INDIA,SR,TN,8.315415639
2027,INDIA,SR,TN,8.564258171
2028,INDIA,SR,TN,8.815743963
2029,INDIA,SR,TN,9.074221396
2030,INDIA,SR,TN,9.339862433
2031,INDIA,SR,TN,9.612858987
2032,INDIA,SR,TN,9.887342193
2033,INDIA,SR,TN,10.16482896
2034,INDIA,SR,TN,10.44984613
2035,INDIA,SR,TN,10.74248599
2036,INDIA,SR,TN,11.04304399
2037,INDIA,SR,TN,11.3517045
2038,INDIA,SR,TN,11.67469041
2039,INDIA,SR,TN,12.00778997
2040,INDIA,SR,TN,12.3512851
2041,INDIA,SR,TN,12.70547431
2022,INDIA,SR,TS,5.61757652
2023,INDIA,SR,TS,5.936727554
2024,INDIA,SR,TS,6.25664209
2025,INDIA,SR,TS,6.44913109
2026,INDIA,SR,TS,6.647112369
2027,INDIA,SR,TS,6.84603018
2028,INDIA,SR,TS,7.047060939
2029,INDIA,SR,TS,7.253680622
2030,INDIA,SR,TS,7.466026691
2031,INDIA,SR,TS,7.684252555
2032,INDIA,SR,TS,7.903666808
2033,INDIA,SR,TS,8.125482028
2034,INDIA,SR,TS,8.353316835
2035,INDIA,SR,TS,8.587245016
2036,INDIA,SR,TS,8.827502733
2037,INDIA,SR,TS,9.074237379
2038,INDIA,SR,TS,9.332423347
2039,INDIA,SR,TS,9.598693887
2040,INDIA,SR,TS,9.87327435
2041,INDIA,SR,TS,10.15640337
2022,INDIA,ER,OD,2.588167214
2023,INDIA,ER,OD,2.735208601
2024,INDIA,ER,OD,2.882601753
2025,INDIA,ER,OD,2.971286565
2026,INDIA,ER,OD,3.062501817
2027,INDIA,ER,OD,3.154148554
2028,INDIA,ER,OD,3.246768782
2029,INDIA,ER,OD,3.341963976
2030,INDIA,ER,OD,3.439797469
2031,INDIA,ER,OD,3.540339941
2032,INDIA,ER,OD,3.641429935
2033,INDIA,ER,OD,3.743626118
2034,INDIA,ER,OD,3.848595685
2035,INDIA,ER,OD,3.956372633
2036,INDIA,ER,OD,4.067065766
2037,INDIA,ER,OD,4.180742993
2038,INDIA,ER,OD,4.299696149
2039,INDIA,ER,OD,4.422374083
2040,INDIA,ER,OD,4.54888062
2041,INDIA,ER,OD,4.679325705
2022,INDIA,ER,JH,2.32828183
2023,INDIA,ER,JH,2.460558364
2024,INDIA,ER,JH,2.593151342
2025,INDIA,ER,JH,2.672931055
2026,INDIA,ER,JH,2.754987118
2027,INDIA,ER,JH,2.83743134
2028,INDIA,ER,JH,2.920751302
2029,INDIA,ER,JH,3.006387671
2030,INDIA,ER,JH,3.094397419
