ModelGeography,SubGeography1,SubGeography2,Year,IF+EAF+BOF
INDIA,ER,WB,2038,5.479
INDIA,NER,AS,2038,0.148
INDIA,NER,NE,2038,0.194
INDIA,NR,DL,2038,0.006
INDIA,NR,HP,2038,1.735
INDIA,NR,HR,2038,0.226
INDIA,NR,JK,2038,0.2
INDIA,NR,PB,2038,4.443
INDIA,NR,RJ,2038,0.852
INDIA,NR,UK,2038,1.36
INDIA,NR,UP,2038,1.642
INDIA,SR,AP,2038,2.097
INDIA,SR,KA,2038,1.243
INDIA,SR,KL,2038,0.446
INDIA,SR,TN,2038,2.727
INDIA,SR,TS,2038,2.009
INDIA,WR,CG,2038,7.862
INDIA,WR,GA,2038,0.558
INDIA,WR,GJ,2038,2.973
INDIA,WR,MH,2038,5.025
INDIA,WR,MP,2038,0.78
INDIA,ER,BR,2039,0.733
INDIA,ER,JH,2039,1.939
INDIA,ER,OD,2039,3.685
INDIA,ER,SK,2039,0
INDIA,ER,WB,2039,5.534
INDIA,NER,AS,2039,0.15
INDIA,NER,NE,2039,0.196
INDIA,NR,DL,2039,0.006
INDIA,NR,HP,2039,1.753
INDIA,NR,HR,2039,0.228
INDIA,NR,JK,2039,0.202
INDIA,NR,PB,2039,4.488
INDIA,NR,RJ,2039,0.86
INDIA,NR,UK,2039,1.373
INDIA,NR,UP,2039,1.659
INDIA,SR,AP,2039,2.119
INDIA,SR,KA,2039,1.255
INDIA,SR,KL,2039,0.45
INDIA,SR,TN,2039,2.755
INDIA,SR,TS,2039,2.029
INDIA,WR,CG,2039,7.941
INDIA,WR,GA,2039,0.564
INDIA,WR,GJ,2039,3.003
INDIA,WR,MH,2039,5.075
INDIA,WR,MP,2039,0.788
INDIA,ER,BR,2040,0.74
INDIA,ER,JH,2040,1.958
INDIA,ER,OD,2040,3.723
INDIA,ER,SK,2040,0
INDIA,ER,WB,2040,5.59
INDIA,NER,AS,2040,0.152
INDIA,NER,NE,2040,0.198
INDIA,NR,DL,2040,0.006
INDIA,NR,HP,2040,1.77
INDIA,NR,HR,2040,0.23
INDIA,NR,JK,2040,0.204
INDIA,NR,PB,2040,4.533
INDIA,NR,RJ,2040,0.869
INDIA,NR,UK,2040,1.387
INDIA,NR,UP,2040,1.675
INDIA,SR,AP,2040,2.14
INDIA,SR,KA,2040,1.268
INDIA,SR,KL,2040,0.454
INDIA,SR,TN,2040,2.782
INDIA,SR,TS,2040,2.049
INDIA,WR,CG,2040,8.02
INDIA,WR,GA,2040,0.57
INDIA,WR,GJ,2040,3.033
INDIA,WR,MH,2040,5.126
INDIA,WR,MP,2040,0.796
INDIA,ER,BR,2041,0.748
INDIA,ER,JH,2041,1.977
INDIA,ER,OD,2041,3.759
INDIA,ER,SK,2041,0
INDIA,ER,WB,2041,5.645
INDIA,NER,AS,2041,0.153
INDIA,NER,NE,2041,0.201
INDIA,NR,DL,2041,0.007
INDIA,NR,HP,2041,1.788
INDIA,NR,HR,2041,0.234
INDIA,NR,JK,2041,0.206
INDIA,NR,PB,2041,4.578
INDIA,NR,RJ,2041,0.878
INDIA,NR,UK,2041,1.401
INDIA,NR,UP,2041,1.692
INDIA,SR,AP,2041,2.161
INDIA,SR,KA,2041,1.281
INDIA,SR,KL,2041,0.46
INDIA,SR,TN,2041,2.81
INDIA,SR,TS,2041,2.069
INDIA,WR,CG,2041,8.1
INDIA,WR,GA,2041,0.576
INDIA,WR,GJ,2041,3.063
INDIA,WR,MH,2041,5.178
INDIA,WR,MP,2041,0.804
