ServiceTech,ConsumerType1,ConsumerType2,ModelGeography,SubGeography1,SubGeography2,EfficiencyLevelName,Year,SplitShare
LIGHT_ELEC,URBAN,Q2,INDIA,NR,DL,CFL,2024,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NR,DL,CFL,2025,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NR,DL,CFL,2026,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NR,DL,CFL,2027,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NR,DL,CFL,2028,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NR,DL,CFL,2029,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NR,DL,CFL,2030,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NR,DL,CFL,2031,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,DL,CFL,2021,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,DL,CFL,2022,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,DL,CFL,2023,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,DL,CFL,2024,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,DL,CFL,2025,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,DL,CFL,2026,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,DL,CFL,2027,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,DL,CFL,2028,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,DL,CFL,2029,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,DL,CFL,2030,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,NR,DL,CFL,2031,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,WR,UT,CFL,2021,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,WR,UT,CFL,2022,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,WR,UT,CFL,2023,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,WR,UT,CFL,2024,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,WR,UT,CFL,2025,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,WR,UT,CFL,2026,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,WR,UT,CFL,2027,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,WR,UT,CFL,2028,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,WR,UT,CFL,2029,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,WR,UT,CFL,2030,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,WR,UT,CFL,2031,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,WR,UT,CFL,2021,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,WR,UT,CFL,2022,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,WR,UT,CFL,2023,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,WR,UT,CFL,2024,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,WR,UT,CFL,2025,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,WR,UT,CFL,2026,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,WR,UT,CFL,2027,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,WR,UT,CFL,2028,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,WR,UT,CFL,2029,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,WR,UT,CFL,2030,0.273897059
LIGHT_ELEC,RURAL,Q2,INDIA,WR,UT,CFL,2031,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NER,NE,CFL,2021,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NER,NE,CFL,2022,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NER,NE,CFL,2023,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NER,NE,CFL,2024,0.273897059
LIGHT_ELEC,URBAN,Q2,INDIA,NER,NE,CFL,2025,0.273897059
