EnergyService,ServiceTech,EnergyCarrier,Year,EmissionType,DomEmissionFactor,ImpEmissionFactor
CEMENT,CC_Norm,,2027,GHG,221.4537479,221.4537479
CEMENT,LC3_Norm,,2027,GHG,264.5988482,264.5988482
CEMENT,OPC_Norm,,2028,GHG,502.7378115,502.7378115
CEMENT,OPC_CCUS,,2028,GHG,50.27378115,50.27378115
CEMENT,PPC_Norm,,2028,GHG,327.4534763,327.4534763
CEMENT,PPC_CCUS,,2028,GHG,32.74534763,32.74534763
CEMENT,PSC_Norm,,2028,GHG,185.4969238,185.4969238
CEMENT,PSC_CCUS,,2028,GHG,18.54969238,18.54969238
CEMENT,CC_Norm,,2028,GHG,218.6454221,218.6454221
CEMENT,LC3_Norm,,2028,GHG,264.5988482,264.5988482
CEMENT,OPC_Norm,,2029,GHG,502.7378115,502.7378115
CEMENT,OPC_CCUS,,2029,GHG,50.27378115,50.27378115
CEMENT,PPC_Norm,,2029,GHG,324.9492056,324.9492056
CEMENT,PPC_CCUS,,2029,GHG,32.49492056,32.49492056
CEMENT,PSC_Norm,,2029,GHG,181.8097193,181.8097193
CEMENT,PSC_CCUS,,2029,GHG,18.18097193,18.18097193
CEMENT,CC_Norm,,2029,GHG,215.8727095,215.8727095
CEMENT,LC3_Norm,,2029,GHG,264.5988482,264.5988482
CEMENT,OPC_Norm,,2030,GHG,502.7378115,502.7378115
CEMENT,OPC_CCUS,,2030,GHG,50.27378115,50.27378115
CEMENT,PPC_Norm,,2030,GHG,322.464087,322.464087
CEMENT,PPC_CCUS,,2030,GHG,32.2464087,32.2464087
CEMENT,PSC_Norm,,2030,GHG,178.195807,178.195807
CEMENT,PSC_CCUS,,2030,GHG,17.8195807,17.8195807
CEMENT,CC_Norm,,2030,GHG,213.1351586,213.1351586
CEMENT,LC3_Norm,,2030,GHG,264.5988482,264.5988482
CEMENT,OPC_Norm,,2031,GHG,502.7378115,502.7378115
CEMENT,OPC_CCUS,,2031,GHG,50.27378115,50.27378115
CEMENT,PPC_Norm,,2031,GHG,319.9979738,319.9979738
CEMENT,PPC_CCUS,,2031,GHG,31.99979738,31.99979738
CEMENT,PSC_Norm,,2031,GHG,174.65373,174.65373
CEMENT,PSC_CCUS,,2031,GHG,17.465373,17.465373
CEMENT,CC_Norm,,2031,GHG,210.4323234,210.4323234
CEMENT,LC3_Norm,,2031,GHG,264.5988482,264.5988482
CEMENT,OPC_Norm,,2032,GHG,502.7378115,502.7378115
CEMENT,OPC_CCUS,,2032,GHG,50.27378115,50.27378115
