EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,EndUseDemandEnergy,TotalEnergyDemand
ELECTRICITY,2022,SUMMER,ALLDAYS,EVENING,INDIA,WR,224.67663360683852,13705.27465001715
ELECTRICITY,2022,SUMMER,ALLDAYS,EVENING,INDIA,NR,281.4502586071553,17168.465775036475
ELECTRICITY,2022,SUMMER,ALLDAYS,EVENING,INDIA,SR,206.66247046434955,12606.410698325322
ELECTRICITY,2022,SUMMER,ALLDAYS,EVENING,INDIA,NER,13.984501210405396,853.0545738347291
ELECTRICITY,2022,SUMMER,ALLDAYS,NIGHT,INDIA,ER,185.15230948103056,11294.290878342865
ELECTRICITY,2022,SUMMER,ALLDAYS,NIGHT,INDIA,WR,362.6587708676623,22122.185022927402
ELECTRICITY,2022,SUMMER,ALLDAYS,NIGHT,INDIA,NR,383.5033467386587,23393.70415105818
ELECTRICITY,2022,SUMMER,ALLDAYS,NIGHT,INDIA,SR,342.0583416763163,20865.558842255294
ELECTRICITY,2022,SUMMER,ALLDAYS,NIGHT,INDIA,NER,11.307677177958187,689.7683078554494
ELECTRICITY,2022,MONSOON,ALLDAYS,EARLY,INDIA,ER,80.26533893891855,7384.411182380506
ELECTRICITY,2022,MONSOON,ALLDAYS,EARLY,INDIA,WR,139.0750834649712,12794.907678777348
ELECTRICITY,2022,MONSOON,ALLDAYS,EARLY,INDIA,NR,154.20458181295564,14186.821526791919
ELECTRICITY,2022,MONSOON,ALLDAYS,EARLY,INDIA,SR,120.66603310864178,11101.275045995044
ELECTRICITY,2022,MONSOON,ALLDAYS,EARLY,INDIA,NER,7.7383853023010865,711.9314478117
ELECTRICITY,2022,MONSOON,ALLDAYS,MORN,INDIA,ER,81.63985862143299,7510.866993171835
ELECTRICITY,2022,MONSOON,ALLDAYS,MORN,INDIA,WR,152.69103487431022,14047.57520843654
ELECTRICITY,2022,MONSOON,ALLDAYS,MORN,INDIA,NR,158.31056900769437,14564.572348707881
ELECTRICITY,2022,MONSOON,ALLDAYS,MORN,INDIA,SR,130.1012009543176,11969.310487797218
ELECTRICITY,2022,MONSOON,ALLDAYS,MORN,INDIA,NER,7.385388298779945,679.4557234877549
ELECTRICITY,2022,MONSOON,ALLDAYS,MID,INDIA,ER,82.79233769523265,7616.895067961404
ELECTRICITY,2022,MONSOON,ALLDAYS,MID,INDIA,WR,156.8837537522317,14433.305345205317
ELECTRICITY,2022,MONSOON,ALLDAYS,MID,INDIA,NR,166.74264134817474,15340.323004032076
ELECTRICITY,2022,MONSOON,ALLDAYS,MID,INDIA,SR,134.86860967749544,12407.91209032958
ELECTRICITY,2022,MONSOON,ALLDAYS,MID,INDIA,NER,8.165378950731775,751.2148634673233
ELECTRICITY,2022,MONSOON,ALLDAYS,AFTERNOON,INDIA,ER,82.46457822534339,7586.741196731592
ELECTRICITY,2022,MONSOON,ALLDAYS,AFTERNOON,INDIA,WR,154.39467889889715,14204.31045869854
ELECTRICITY,2022,MONSOON,ALLDAYS,AFTERNOON,INDIA,NR,165.36089931692737,15213.202737157319
ELECTRICITY,2022,MONSOON,ALLDAYS,AFTERNOON,INDIA,SR,131.6427928938936,12111.136946238212
ELECTRICITY,2022,MONSOON,ALLDAYS,AFTERNOON,INDIA,NER,7.912944590955085,727.9909023678679
ELECTRICITY,2022,MONSOON,ALLDAYS,EVENING,INDIA,ER,118.89169196791941,10938.035661048587
ELECTRICITY,2022,MONSOON,ALLDAYS,EVENING,INDIA,WR,194.64251807967148,17907.111663329775
