EnergyCarrier,Year,ModelGeographySrc,SubGeography1Src,ModelGeographyDest,SubGeography1Dest,TransitCost
ELECTRICITY,2030,INDIA,NR,INDIA,NR,2.667934036
ELECTRICITY,2031,INDIA,NR,INDIA,NR,2.706119602
ELECTRICITY,2021,INDIA,WR,INDIA,WR,2.304133626
ELECTRICITY,2022,INDIA,WR,INDIA,WR,2.336204282
ELECTRICITY,2023,INDIA,WR,INDIA,WR,2.368813994
ELECTRICITY,2024,INDIA,WR,INDIA,WR,2.401971824
ELECTRICITY,2025,INDIA,WR,INDIA,WR,2.435686985
ELECTRICITY,2026,INDIA,WR,INDIA,WR,2.469968844
ELECTRICITY,2027,INDIA,WR,INDIA,WR,2.504826928
ELECTRICITY,2028,INDIA,WR,INDIA,WR,2.540270921
ELECTRICITY,2029,INDIA,WR,INDIA,WR,2.576310671
ELECTRICITY,2030,INDIA,WR,INDIA,WR,2.612956192
ELECTRICITY,2031,INDIA,WR,INDIA,WR,2.650217667
ELECTRICITY,2021,INDIA,SR,INDIA,SR,1.748819142
ELECTRICITY,2022,INDIA,SR,INDIA,SR,1.771555838
ELECTRICITY,2023,INDIA,SR,INDIA,SR,1.794674702
ELECTRICITY,2024,INDIA,SR,INDIA,SR,1.818182157
ELECTRICITY,2025,INDIA,SR,INDIA,SR,1.842084735
ELECTRICITY,2026,INDIA,SR,INDIA,SR,1.866389078
ELECTRICITY,2027,INDIA,SR,INDIA,SR,1.891101938
ELECTRICITY,2028,INDIA,SR,INDIA,SR,1.916230183
ELECTRICITY,2029,INDIA,SR,INDIA,SR,1.941780794
ELECTRICITY,2030,INDIA,SR,INDIA,SR,1.96776087
ELECTRICITY,2031,INDIA,SR,INDIA,SR,1.994177631
ELECTRICITY,2021,INDIA,ER,INDIA,ER,1.551472512
ELECTRICITY,2022,INDIA,ER,INDIA,ER,1.570892123
ELECTRICITY,2023,INDIA,ER,INDIA,ER,1.590638146
ELECTRICITY,2024,INDIA,ER,INDIA,ER,1.610716069
ELECTRICITY,2025,INDIA,ER,INDIA,ER,1.63113147
ELECTRICITY,2026,INDIA,ER,INDIA,ER,1.651890021
ELECTRICITY,2027,INDIA,ER,INDIA,ER,1.672997491
ELECTRICITY,2028,INDIA,ER,INDIA,ER,1.694459745
ELECTRICITY,2029,INDIA,ER,INDIA,ER,1.716282745
ELECTRICITY,2030,INDIA,ER,INDIA,ER,1.738472555
ELECTRICITY,2031,INDIA,ER,INDIA,ER,1.76103534
ELECTRICITY,2021,INDIA,NER,INDIA,NER,1.803860748
ELECTRICITY,2022,INDIA,NER,INDIA,NER,1.827522606
ELECTRICITY,2023,INDIA,NER,INDIA,NER,1.851582182
ELECTRICITY,2024,INDIA,NER,INDIA,NER,1.876046162
ELECTRICITY,2025,INDIA,NER,INDIA,NER,1.900921343
ELECTRICITY,2026,INDIA,NER,INDIA,NER,1.926214637
ELECTRICITY,2027,INDIA,NER,INDIA,NER,1.95193307
ELECTRICITY,2028,INDIA,NER,INDIA,NER,1.97808379
ELECTRICITY,2029,INDIA,NER,INDIA,NER,2.004674063
ELECTRICITY,2030,INDIA,NER,INDIA,NER,2.031711275
ELECTRICITY,2031,INDIA,NER,INDIA,NER,2.059202941
ELECTRICITY,2021,INDIA,NR,INDIA,WR,0.4
ELECTRICITY,2022,INDIA,NR,INDIA,WR,0.41
ELECTRICITY,2023,INDIA,NR,INDIA,WR,0.42
ELECTRICITY,2024,INDIA,NR,INDIA,WR,0.43
ELECTRICITY,2025,INDIA,NR,INDIA,WR,0.44
ELECTRICITY,2026,INDIA,NR,INDIA,WR,0.45
ELECTRICITY,2027,INDIA,NR,INDIA,WR,0.46
ELECTRICITY,2028,INDIA,NR,INDIA,WR,0.47
ELECTRICITY,2029,INDIA,NR,INDIA,WR,0.48
ELECTRICITY,2030,INDIA,NR,INDIA,WR,0.49
ELECTRICITY,2031,INDIA,NR,INDIA,WR,0.5
ELECTRICITY,2021,INDIA,WR,INDIA,SR,0.4
ELECTRICITY,2022,INDIA,WR,INDIA,SR,0.41
ELECTRICITY,2023,INDIA,WR,INDIA,SR,0.42
ELECTRICITY,2024,INDIA,WR,INDIA,SR,0.43
ELECTRICITY,2025,INDIA,WR,INDIA,SR,0.44
ELECTRICITY,2026,INDIA,WR,INDIA,SR,0.45
ELECTRICITY,2027,INDIA,WR,INDIA,SR,0.46
ELECTRICITY,2028,INDIA,WR,INDIA,SR,0.47
ELECTRICITY,2029,INDIA,WR,INDIA,SR,0.48
ELECTRICITY,2030,INDIA,WR,INDIA,SR,0.49
ELECTRICITY,2031,INDIA,WR,INDIA,SR,0.5
ELECTRICITY,2021,INDIA,SR,INDIA,ER,0.4
ELECTRICITY,2022,INDIA,SR,INDIA,ER,0.41
ELECTRICITY,2023,INDIA,SR,INDIA,ER,0.42
ELECTRICITY,2024,INDIA,SR,INDIA,ER,0.43
ELECTRICITY,2025,INDIA,SR,INDIA,ER,0.44
ELECTRICITY,2026,INDIA,SR,INDIA,ER,0.45
ELECTRICITY,2027,INDIA,SR,INDIA,ER,0.46
ELECTRICITY,2028,INDIA,SR,INDIA,ER,0.47
ELECTRICITY,2029,INDIA,SR,INDIA,ER,0.48
ELECTRICITY,2030,INDIA,SR,INDIA,ER,0.49
