Year,ModelGeography,SubGeography1,SubGeography2,GDP
2033,INDIA,SR,AP,19031250.93
2033,INDIA,ER,WB,18664786.74
2033,INDIA,NR,UK,4043639.264
2034,INDIA,NR,PB,9847970.655
2034,INDIA,WR,MH,44409858.29
2034,INDIA,SR,KL,11792041.14
2034,INDIA,SR,TN,36257020.1
2034,INDIA,NR,RJ,15404594.87
2034,INDIA,ER,WB,19481772.07
2034,INDIA,WR,MP,16035922.78
2034,INDIA,ER,OD,10554210.41
2034,INDIA,WR,GJ,42239127.18
2034,INDIA,WR,GA,1471464.97
2034,INDIA,ER,SK,644903.1636
2034,INDIA,NR,UK,4199004.654
2034,INDIA,NR,HR,15563812.71
2034,INDIA,WR,CG,5794128.462
2034,INDIA,SR,AP,20218704.95
2034,INDIA,ER,BR,11818342.12
2034,INDIA,NR,HP,2873769.539
2034,INDIA,NER,NE,3998973.066
2034,INDIA,SR,TS,18174746.78
2034,INDIA,SR,KA,35154838.23
2034,INDIA,NR,DL,14982381.86
2034,INDIA,NR,JK,2810627.178
2034,INDIA,NR,UP,25814715.75
2034,INDIA,ER,JH,5511697.295
2034,INDIA,NER,AS,7411758.924
2035,INDIA,NR,HR,16448545.79
2035,INDIA,NR,JK,2929240.312
2035,INDIA,WR,CG,6018234.656
2035,INDIA,WR,GA,1559834.017
2035,INDIA,NER,AS,7860455.177
2035,INDIA,SR,TS,19240970.37
2035,INDIA,NR,HP,2998698.965
2035,INDIA,SR,TN,38187104.24
2035,INDIA,ER,WB,20332281.93
2035,INDIA,WR,GJ,45268210.44
2035,INDIA,NR,PB,10214323.79
2035,INDIA,NER,NE,4219757.055
2035,INDIA,ER,JH,5735834.736
2035,INDIA,ER,BR,12469795.95
2035,INDIA,NR,UK,4359652.726
2035,INDIA,WR,MH,46062454.26
2035,INDIA,NR,RJ,15998221.11
2035,INDIA,SR,KL,12207838.07
2035,INDIA,ER,OD,11088783.84
2035,INDIA,WR,MP,16917330.35
2035,INDIA,SR,AP,21477537.86
2035,INDIA,NR,DL,15718202.05
2035,INDIA,ER,SK,688253.1793
2035,INDIA,SR,KA,37352346.88
2035,INDIA,NR,UP,26793438.87
2036,INDIA,NER,NE,4452075.844
2036,INDIA,WR,GA,1654306.651
2036,INDIA,NR,UP,27805435.67
2036,INDIA,NER,AS,8335280.03
2036,INDIA,WR,CG,6249902.598
2036,INDIA,ER,BR,13154294.99
2036,INDIA,NR,DL,16484903.85
2036,INDIA,ER,SK,733432.4091
2036,INDIA,SR,AP,22812193.9
2036,INDIA,NR,HP,3129101.557
2036,INDIA,NR,UK,4525718.714
2036,INDIA,NR,HR,17380747.75
2036,INDIA,WR,GJ,48502861.59
2036,INDIA,ER,WB,21217502.41
2036,INDIA,NR,JK,3052026.428
2036,INDIA,NR,RJ,16611928.26
2036,INDIA,SR,KL,12636516.78
2036,INDIA,WR,MP,17843932.95
2036,INDIA,NR,PB,10593295.18
2036,INDIA,SR,TN,40215926.75
2036,INDIA,ER,OD,11649493.72
2036,INDIA,WR,MH,47770420.18
2036,INDIA,ER,JH,5967965.501
2036,INDIA,SR,KA,39681706.89
2036,INDIA,SR,TS,20367430.9
2037,INDIA,ER,OD,12236805.92
2037,INDIA,NR,HR,18361731.77
2037,INDIA,WR,MP,18818246.24
2037,INDIA,ER,SK,782495.5913
2037,INDIA,ER,JH,6208326.364
2037,INDIA,WR,MH,49534599.96
2037,INDIA,NER,NE,4696491.793
2037,INDIA,ER,BR,13873363.64
2037,INDIA,WR,GJ,51956866.82
2037,INDIA,NER,AS,8837234.982
2037,INDIA,WR,GA,1754280.339
2037,INDIA,ER,WB,22138502.79
2037,INDIA,SR,TN,42347750.16
2037,INDIA,NR,DL,17282931.93
2037,INDIA,NR,HP,3264794.561
2037,INDIA,NR,PB,10984944.27
2037,INDIA,NR,JK,3179727.856
2037,INDIA,SR,TS,21557371.35
2037,INDIA,SR,KA,42151028.53
2037,INDIA,NR,UP,28851436.89
2037,INDIA,WR,CG,6489529.946
2037,INDIA,SR,AP,24227500.53
2037,INDIA,SR,KL,13079103.33
2037,INDIA,NR,RJ,17246274.36
2037,INDIA,NR,UK,4697353.301
2038,INDIA,WR,GJ,55685924.07
2038,INDIA,ER,BR,14634245.42
2038,INDIA,SR,KA,44783676.65
2038,INDIA,NR,RJ,17904304.56
2038,INDIA,NR,JK,3312873.342
2038,INDIA,NR,UP,29936574.35
2038,INDIA,NR,UK,4876964.987
2038,INDIA,SR,TN,44599759.7
2038,INDIA,ER,OD,12853358.51
2038,INDIA,WR,MH,51364832.47
2038,INDIA,ER,WB,23103653.32
2038,INDIA,SR,KL,13640545.34
2038,INDIA,WR,MP,19846232.91
2038,INDIA,ER,JH,6459042.94
2038,INDIA,ER,SK,838994.6162
2038,INDIA,SR,AP,25742698.32
2038,INDIA,NR,HR,19407507.64
2038,INDIA,NR,HP,3405824.768
2038,INDIA,WR,CG,6739322.107
2038,INDIA,WR,GA,1863750.445
2038,INDIA,NER,NE,4956888.166
2038,INDIA,NER,AS,9369516.347
2038,INDIA,SR,TS,22833131.26
2038,INDIA,NR,PB,11391723.67
2038,INDIA,NR,DL,18126574.12
2039,INDIA,NR,UK,5063182.261
2039,INDIA,NR,HP,3552436.556
2039,INDIA,WR,MH,53256597.35
2039,INDIA,WR,MP,20927470.48
2039,INDIA,NR,RJ,18584943.99
2039,INDIA,NR,HR,20512557.33
2039,INDIA,WR,GJ,59681864.83
2039,INDIA,SR,KA,47578502
2039,INDIA,ER,OD,13499341.81
2039,INDIA,WR,CG,6998066.202
2039,INDIA,NER,NE,5231761.6
2039,INDIA,SR,KL,14241064.5
2039,INDIA,SR,AP,27353568.81
2039,INDIA,NER,AS,9932536.303
2039,INDIA,WR,GA,1980812.249
2039,INDIA,ER,WB,24109377.68
2039,INDIA,NR,JK,3451215.294
2039,INDIA,SR,TS,24186463.9
2039,INDIA,NR,DL,19008653.49
2039,INDIA,NR,UP,31058391.53
2039,INDIA,ER,BR,15434710.85
2039,INDIA,NR,PB,11812490.62
2039,INDIA,ER,SK,900708.3788
2039,INDIA,ER,JH,6719010.779
2039,INDIA,SR,TN,46968866.91
2040,INDIA,ER,JH,6988537.143
2040,INDIA,ER,BR,16276705.79
2040,INDIA,WR,MH,55211749.61
2040,INDIA,SR,AP,29066237.03
2040,INDIA,NER,NE,5521925.229
2040,INDIA,NR,UP,32217977.43
2040,INDIA,SR,KA,50545376.97
2040,INDIA,NR,JK,3594941.343
2040,INDIA,SR,TS,25622187.99
2040,INDIA,WR,GJ,63963738.85
2040,INDIA,NR,DL,19930791.33
2040,INDIA,NER,AS,10527994.83
2040,INDIA,WR,CG,7266062.007
2040,INDIA,ER,SK,968117.7182
2040,INDIA,WR,GA,2105971.929
2040,INDIA,NR,HP,3704829.071
2040,INDIA,ER,OD,14176084.29
2040,INDIA,NR,PB,12247689.51
2040,INDIA,NR,UK,5256241.904
2040,INDIA,WR,MP,22064563.53
2040,INDIA,SR,KL,14880174.34
2040,INDIA,NR,RJ,19288877.15
2040,INDIA,NR,HR,21680236.93
2040,INDIA,SR,TN,49461024.94
2040,INDIA,ER,WB,25157333.09
2041,INDIA,ER,SK,1041743.245
2041,INDIA,NR,DL,20894661.04
2041,INDIA,NR,UK,5456386.754
2041,INDIA,NER,NE,5828235.003
2041,INDIA,ER,BR,17162257.89
2041,INDIA,NR,JK,3744245.348
2041,INDIA,SR,TS,27145411.27
2041,INDIA,SR,TN,52082458.8
2041,INDIA,ER,WB,26249229.55
2041,INDIA,WR,GJ,68551918.55
2041,INDIA,WR,CG,7543615.154
2041,INDIA,NR,HR,22914079.28
2041,INDIA,NR,HP,3863206.501
2041,INDIA,NER,AS,11157675.78
2041,INDIA,WR,GA,2239769.213
2041,INDIA,WR,MH,57232165.82
2041,INDIA,SR,KA,53694744.9
2041,INDIA,ER,JH,7267935.765
2041,INDIA,SR,AP,30887208.69
2041,INDIA,NR,UP,33416433.11
2041,INDIA,SR,KL,15557707.11
2041,INDIA,NR,PB,12697773.5
2041,INDIA,WR,MP,23260227.11
2041,INDIA,NR,RJ,20016796.63
2041,INDIA,ER,OD,14884965.03
