InstYear,EnergyStorTech,Year,ModelGeography,SubGeography1,StorFixedCost
2025,FOURHR_BATTERY,2030,INDIA,NR,3461.719774
2025,FOURHR_BATTERY,2030,INDIA,SR,3461.719774
2025,FOURHR_BATTERY,2030,INDIA,NER,3461.719774
2025,FOURHR_BATTERY,2031,INDIA,ER,3461.719774
2025,FOURHR_BATTERY,2031,INDIA,WR,3461.719774
2025,FOURHR_BATTERY,2031,INDIA,NR,3461.719774
2025,FOURHR_BATTERY,2031,INDIA,SR,3461.719774
2025,FOURHR_BATTERY,2031,INDIA,NER,3461.719774
2026,FOURHR_BATTERY,2026,INDIA,ER,3210.917487
2026,FOURHR_BATTERY,2026,INDIA,WR,3210.917487
2026,FOURHR_BATTERY,2026,INDIA,NR,3210.917487
2026,FOURHR_BATTERY,2026,INDIA,SR,3210.917487
2026,FOURHR_BATTERY,2026,INDIA,NER,3210.917487
2026,FOURHR_BATTERY,2027,INDIA,ER,3210.917487
2026,FOURHR_BATTERY,2027,INDIA,WR,3210.917487
2026,FOURHR_BATTERY,2027,INDIA,NR,3210.917487
2026,FOURHR_BATTERY,2027,INDIA,SR,3210.917487
2026,FOURHR_BATTERY,2027,INDIA,NER,3210.917487
2026,FOURHR_BATTERY,2028,INDIA,ER,3210.917487
2026,FOURHR_BATTERY,2028,INDIA,WR,3210.917487
2026,FOURHR_BATTERY,2028,INDIA,NR,3210.917487
2026,FOURHR_BATTERY,2028,INDIA,SR,3210.917487
2026,FOURHR_BATTERY,2028,INDIA,NER,3210.917487
2026,FOURHR_BATTERY,2029,INDIA,ER,3210.917487
2026,FOURHR_BATTERY,2029,INDIA,WR,3210.917487
2026,FOURHR_BATTERY,2029,INDIA,NR,3210.917487
2026,FOURHR_BATTERY,2029,INDIA,SR,3210.917487
2026,FOURHR_BATTERY,2029,INDIA,NER,3210.917487
2026,FOURHR_BATTERY,2030,INDIA,ER,3210.917487
2026,FOURHR_BATTERY,2030,INDIA,WR,3210.917487
2026,FOURHR_BATTERY,2030,INDIA,NR,3210.917487
2026,FOURHR_BATTERY,2030,INDIA,SR,3210.917487
2026,FOURHR_BATTERY,2030,INDIA,NER,3210.917487
2026,FOURHR_BATTERY,2031,INDIA,ER,3210.917487
2026,FOURHR_BATTERY,2031,INDIA,WR,3210.917487
2026,FOURHR_BATTERY,2031,INDIA,NR,3210.917487
2026,FOURHR_BATTERY,2031,INDIA,SR,3210.917487
2026,FOURHR_BATTERY,2031,INDIA,NER,3210.917487
2027,FOURHR_BATTERY,2027,INDIA,ER,3106.536292
2027,FOURHR_BATTERY,2027,INDIA,WR,3106.536292
2027,FOURHR_BATTERY,2027,INDIA,NR,3106.536292
2027,FOURHR_BATTERY,2027,INDIA,SR,3106.536292
2027,FOURHR_BATTERY,2027,INDIA,NER,3106.536292
2027,FOURHR_BATTERY,2028,INDIA,ER,3106.536292
2027,FOURHR_BATTERY,2028,INDIA,WR,3106.536292
2027,FOURHR_BATTERY,2028,INDIA,NR,3106.536292
2027,FOURHR_BATTERY,2028,INDIA,SR,3106.536292
2027,FOURHR_BATTERY,2028,INDIA,NER,3106.536292
2027,FOURHR_BATTERY,2029,INDIA,ER,3106.536292
2027,FOURHR_BATTERY,2029,INDIA,WR,3106.536292
2027,FOURHR_BATTERY,2029,INDIA,NR,3106.536292
2027,FOURHR_BATTERY,2029,INDIA,SR,3106.536292
2027,FOURHR_BATTERY,2029,INDIA,NER,3106.536292
2027,FOURHR_BATTERY,2030,INDIA,ER,3106.536292
2027,FOURHR_BATTERY,2030,INDIA,WR,3106.536292
2027,FOURHR_BATTERY,2030,INDIA,NR,3106.536292
2027,FOURHR_BATTERY,2030,INDIA,SR,3106.536292
2027,FOURHR_BATTERY,2030,INDIA,NER,3106.536292
2027,FOURHR_BATTERY,2031,INDIA,ER,3106.536292
2027,FOURHR_BATTERY,2031,INDIA,WR,3106.536292
2027,FOURHR_BATTERY,2031,INDIA,NR,3106.536292
2027,FOURHR_BATTERY,2031,INDIA,SR,3106.536292
2027,FOURHR_BATTERY,2031,INDIA,NER,3106.536292
2028,FOURHR_BATTERY,2028,INDIA,ER,2982.059607
2028,FOURHR_BATTERY,2028,INDIA,WR,2982.059607
2028,FOURHR_BATTERY,2028,INDIA,NR,2982.059607
2028,FOURHR_BATTERY,2028,INDIA,SR,2982.059607
2028,FOURHR_BATTERY,2028,INDIA,NER,2982.059607
2028,FOURHR_BATTERY,2029,INDIA,ER,2982.059607
2028,FOURHR_BATTERY,2029,INDIA,WR,2982.059607
2028,FOURHR_BATTERY,2029,INDIA,NR,2982.059607
2028,FOURHR_BATTERY,2029,INDIA,SR,2982.059607
2028,FOURHR_BATTERY,2029,INDIA,NER,2982.059607
2028,FOURHR_BATTERY,2030,INDIA,ER,2982.059607
2028,FOURHR_BATTERY,2030,INDIA,WR,2982.059607
2028,FOURHR_BATTERY,2030,INDIA,NR,2982.059607
2028,FOURHR_BATTERY,2030,INDIA,SR,2982.059607
2028,FOURHR_BATTERY,2030,INDIA,NER,2982.059607
2028,FOURHR_BATTERY,2031,INDIA,ER,2982.059607
2028,FOURHR_BATTERY,2031,INDIA,WR,2982.059607
2028,FOURHR_BATTERY,2031,INDIA,NR,2982.059607
2028,FOURHR_BATTERY,2031,INDIA,SR,2982.059607
2028,FOURHR_BATTERY,2031,INDIA,NER,2982.059607
2029,FOURHR_BATTERY,2029,INDIA,ER,2866.289833
2029,FOURHR_BATTERY,2029,INDIA,WR,2866.289833
2029,FOURHR_BATTERY,2029,INDIA,NR,2866.289833
2029,FOURHR_BATTERY,2029,INDIA,SR,2866.289833
2029,FOURHR_BATTERY,2029,INDIA,NER,2866.289833
2029,FOURHR_BATTERY,2030,INDIA,ER,2866.289833
2029,FOURHR_BATTERY,2030,INDIA,WR,2866.289833
2029,FOURHR_BATTERY,2030,INDIA,NR,2866.289833
2029,FOURHR_BATTERY,2030,INDIA,SR,2866.289833
2029,FOURHR_BATTERY,2030,INDIA,NER,2866.289833
2029,FOURHR_BATTERY,2031,INDIA,ER,2866.289833
2029,FOURHR_BATTERY,2031,INDIA,WR,2866.289833
2029,FOURHR_BATTERY,2031,INDIA,NR,2866.289833
2029,FOURHR_BATTERY,2031,INDIA,SR,2866.289833
2029,FOURHR_BATTERY,2031,INDIA,NER,2866.289833
2030,FOURHR_BATTERY,2030,INDIA,ER,2744.696444
2030,FOURHR_BATTERY,2030,INDIA,WR,2744.696444
2030,FOURHR_BATTERY,2030,INDIA,NR,2744.696444
2030,FOURHR_BATTERY,2030,INDIA,SR,2744.696444
2030,FOURHR_BATTERY,2030,INDIA,NER,2744.696444
2030,FOURHR_BATTERY,2031,INDIA,ER,2744.696444
