EnergyConvTech,ModelGeography,SubGeography1,SubGeography2,Year,MaxCapacity,MinCapacity
EG_SOLARPV,INDIA,NR,UK,2026,0.606255012,0
EG_SOLARPV,INDIA,NR,UK,2027,0.606255012,0
EG_SOLARPV,INDIA,NR,UK,2028,0.606255012,0
EG_SOLARPV,INDIA,NR,UK,2029,0.606255012,0
EG_SOLARPV,INDIA,NR,UK,2030,0.606255012,0
EG_SOLARPV,INDIA,NR,UK,2031,0.606255012,0
EG_SOLARPV,INDIA,ER,WB,2021,0.03538,0.03538
EG_SOLARPV,INDIA,ER,WB,2022,0.006108,0.006108
EG_SOLARPV,INDIA,ER,WB,2023,0.112951083,0.009162
EG_SOLARPV,INDIA,ER,WB,2024,0.150601443,0.01527
EG_SOLARPV,INDIA,ER,WB,2025,0.188251804,0
EG_SOLARPV,INDIA,ER,WB,2026,0.225902165,0
EG_SOLARPV,INDIA,ER,WB,2027,0.225902165,0
EG_SOLARPV,INDIA,ER,WB,2028,0.225902165,0
EG_SOLARPV,INDIA,ER,WB,2029,0.225902165,0
EG_SOLARPV,INDIA,ER,WB,2030,0.225902165,0
EG_SOLARPV,INDIA,ER,WB,2031,0.225902165,0
EG_SOLARPV,INDIA,WR,UT,2021,0.02912,0.02912
EG_SOLARPV,INDIA,WR,UT,2022,0,0
EG_SOLARPV,INDIA,WR,UT,2023,0,0
EG_SOLARPV,INDIA,WR,UT,2024,0,0
EG_SOLARPV,INDIA,WR,UT,2025,0,0
EG_SOLARPV,INDIA,WR,UT,2026,0,0
EG_SOLARPV,INDIA,WR,UT,2027,0,0
EG_SOLARPV,INDIA,WR,UT,2028,0,0
EG_SOLARPV,INDIA,WR,UT,2029,0,0
EG_SOLARPV,INDIA,WR,UT,2030,0,0
EG_SOLARPV,INDIA,WR,UT,2031,0,0
EG_SOLARPV,INDIA,NR,DL,2021,0.02781,0.02781
EG_SOLARPV,INDIA,NR,DL,2022,0.003,0.003
EG_SOLARPV,INDIA,NR,DL,2023,0.036988773,0
EG_SOLARPV,INDIA,NR,DL,2024,0.049318364,0
EG_SOLARPV,INDIA,NR,DL,2025,0.061647955,0
EG_SOLARPV,INDIA,NR,DL,2026,0.073977546,0
EG_SOLARPV,INDIA,NR,DL,2027,0.073977546,0
EG_SOLARPV,INDIA,NR,DL,2028,0.073977546,0
EG_SOLARPV,INDIA,NR,DL,2029,0.073977546,0
EG_SOLARPV,INDIA,NR,DL,2030,0.073977546,0
EG_SOLARPV,INDIA,NR,DL,2031,0.073977546,0
EG_WIND,INDIA,SR,AP,2021,0.004221931,0.0042
EG_WIND,INDIA,SR,AP,2022,0,0
EG_WIND,INDIA,SR,AP,2023,0,0
