InstYear,EnergyConvTech,Year,ModelGeography,SubGeography1,FixedCost
2020,EG_COAL,2025,INDIA,NR,9635.321914
2020,EG_COAL,2026,INDIA,NR,9651.92917
2020,EG_COAL,2027,INDIA,NR,9668.565049
2020,EG_COAL,2028,INDIA,NR,9685.229602
2020,EG_COAL,2029,INDIA,NR,9701.922878
2020,EG_COAL,2030,INDIA,NR,9718.644926
2020,EG_COAL,2031,INDIA,NR,9735.395795
2020,EG_COAL,2021,INDIA,ER,7832.098782
2020,EG_COAL,2022,INDIA,ER,7845.598037
2020,EG_COAL,2023,INDIA,ER,7859.120559
2020,EG_COAL,2024,INDIA,ER,7872.666389
2020,EG_COAL,2025,INDIA,ER,7886.235565
2020,EG_COAL,2026,INDIA,ER,7899.828129
2020,EG_COAL,2027,INDIA,ER,7913.444121
2020,EG_COAL,2028,INDIA,ER,7927.083581
2020,EG_COAL,2029,INDIA,ER,7940.74655
2020,EG_COAL,2030,INDIA,ER,7954.433068
2020,EG_COAL,2031,INDIA,ER,7968.143176
2020,EG_COAL,2021,INDIA,WR,9260.003732
2020,EG_COAL,2022,INDIA,WR,9275.964096
2020,EG_COAL,2023,INDIA,WR,9291.951969
2020,EG_COAL,2024,INDIA,WR,9307.967399
2020,EG_COAL,2025,INDIA,WR,9324.010433
2020,EG_COAL,2026,INDIA,WR,9340.081118
2020,EG_COAL,2027,INDIA,WR,9356.179503
2020,EG_COAL,2028,INDIA,WR,9372.305634
2020,EG_COAL,2029,INDIA,WR,9388.45956
2020,EG_COAL,2030,INDIA,WR,9404.641328
2020,EG_COAL,2031,INDIA,WR,9420.850987
2020,EG_COAL,2021,INDIA,SR,8862.33733
2020,EG_COAL,2022,INDIA,SR,8877.612284
2020,EG_COAL,2023,INDIA,SR,8892.913566
2020,EG_COAL,2024,INDIA,SR,8908.241221
2020,EG_COAL,2025,INDIA,SR,8923.595294
2020,EG_COAL,2026,INDIA,SR,8938.975832
2020,EG_COAL,2027,INDIA,SR,8954.382879
2020,EG_COAL,2028,INDIA,SR,8969.816481
2020,EG_COAL,2029,INDIA,SR,8985.276684
2020,EG_COAL,2030,INDIA,SR,9000.763534
2020,EG_COAL,2031,INDIA,SR,9016.277077
2020,EG_COAL,2021,INDIA,NER,6867.823919
2020,EG_COAL,2022,INDIA,NER,6879.661169
2020,EG_COAL,2023,INDIA,NER,6891.51882
2020,EG_COAL,2024,INDIA,NER,6903.39691
2020,EG_COAL,2025,INDIA,NER,6915.295472
2020,EG_COAL,2026,INDIA,NER,6927.214542
2020,EG_COAL,2027,INDIA,NER,6939.154156
2020,EG_COAL,2028,INDIA,NER,6951.114349
2020,EG_COAL,2029,INDIA,NER,6963.095156
2020,EG_COAL,2030,INDIA,NER,6975.096613
2020,EG_COAL,2031,INDIA,NER,6987.118756
2021,EG_COAL,2021,INDIA,NR,9928.688783
2021,EG_COAL,2021,INDIA,ER,9928.688783
2021,EG_COAL,2021,INDIA,WR,9928.688783
2021,EG_COAL,2021,INDIA,SR,9928.688783
2021,EG_COAL,2021,INDIA,NER,9928.688783
2021,EG_COAL,2022,INDIA,NR,9928.688783
2021,EG_COAL,2022,INDIA,ER,9928.688783
2021,EG_COAL,2022,INDIA,WR,9928.688783
2021,EG_COAL,2022,INDIA,SR,9928.688783
2021,EG_COAL,2022,INDIA,NER,9928.688783
2021,EG_COAL,2023,INDIA,NR,9928.688783
2021,EG_COAL,2023,INDIA,ER,9928.688783
2021,EG_COAL,2023,INDIA,WR,9928.688783
2021,EG_COAL,2023,INDIA,SR,9928.688783
2021,EG_COAL,2023,INDIA,NER,9928.688783
2021,EG_COAL,2024,INDIA,NR,9928.688783
2021,EG_COAL,2024,INDIA,ER,9928.688783
2021,EG_COAL,2024,INDIA,WR,9928.688783
2021,EG_COAL,2024,INDIA,SR,9928.688783
