Year,ConsumerType1,ModelGeography,SubGeography1,SubGeography2,EnergyService,ServiceTech,EfficiencyLevelName,EnergyCarrier,SpecificEnergyConsumption
2024,RURAL,INDIA,WR,GA,RES_REF,FR_DIRECTCOOL,3STARDC,ELECTRICITY,4.34249E-08
2024,RURAL,INDIA,WR,GA,RES_REF,FR_DIRECTCOOL,4STARDC,ELECTRICITY,3.81263E-08
2024,RURAL,INDIA,WR,GA,RES_REF,FR_FROSTFREE,2STARFF,ELECTRICITY,5.92326E-08
2024,RURAL,INDIA,WR,GA,RES_REF,FR_FROSTFREE,3STARFF,ELECTRICITY,5.14046E-08
2024,RURAL,INDIA,WR,GA,RES_REF,FR_FROSTFREE,4STARFF,ELECTRICITY,4.45317E-08
2024,RURAL,INDIA,WR,GA,RES_COOL,AC,3STARAC,ELECTRICITY,7.19362E-08
2024,RURAL,INDIA,WR,GA,RES_COOL,AC,4STARAC,ELECTRICITY,6.40635E-08
2024,RURAL,INDIA,WR,GA,RES_COOL,AC,5STARAC,ELECTRICITY,6.05001E-08
2024,RURAL,INDIA,WR,GA,RES_COOL,COOLER,AVGCOOLER,ELECTRICITY,1.79174E-07
2024,RURAL,INDIA,WR,GA,RES_COOL,FAN,AVGFAN,ELECTRICITY,6.8959E-08
2024,RURAL,INDIA,WR,GA,RES_TV,TV,AVGTV,ELECTRICITY,1.15064E-08
2024,RURAL,INDIA,WR,GA,RES_COOK,CK_LPG,AVGLPG,LPG,1.68983E-09
2024,RURAL,INDIA,WR,GA,RES_COOK,CK_INDUCTION,AVGINDUCTION,ELECTRICITY,3.32012E-07
2024,RURAL,INDIA,WR,GA,RES_COOK,CK_PNG,AVGPNG,NATGAS,1.68983E-09
2024,RURAL,INDIA,WR,GA,RES_COOK,CK_BIOGAS,AVGBIOGAS,BIOGAS,1.68983E-09
2024,RURAL,INDIA,WR,GA,RES_COOK,COOKSTOVE_SF,AVGSF,BIOMASS,7.14286E-09
2024,RURAL,INDIA,WR,GJ,RES_LIGHT,LIGHT_ELEC,INCAND,ELECTRICITY,0.00000006
