ModelGeography,SubGeography1,SubGeography2,Year,PPC+OPC+PSC+CC+LC3
INDIA,ER,OD,2022,6.230772922
INDIA,ER,OD,2023,6.584761582
INDIA,ER,OD,2024,6.939596813
INDIA,ER,OD,2025,7.396969559
INDIA,ER,OD,2026,7.896106227
INDIA,ER,OD,2027,8.414491605
INDIA,ER,OD,2028,8.957212442
INDIA,ER,OD,2029,9.530179032
INDIA,ER,OD,2030,10.13479394
INDIA,ER,OD,2031,10.77247981
INDIA,ER,OD,2032,11.43029954
INDIA,ER,OD,2033,12.09215007
INDIA,ER,OD,2034,12.75403593
INDIA,ER,OD,2035,13.41165624
INDIA,ER,OD,2036,14.07148849
INDIA,ER,OD,2037,14.75568931
INDIA,ER,OD,2038,15.46427777
INDIA,ER,OD,2039,16.1970761
INDIA,ER,OD,2040,16.95366333
INDIA,ER,OD,2041,17.73331979
INDIA,ER,JH,2022,5.605122924
INDIA,ER,JH,2023,5.923566554
INDIA,ER,JH,2024,6.24277175
INDIA,ER,JH,2025,6.65421837
INDIA,ER,JH,2026,7.103235277
INDIA,ER,JH,2027,7.569568074
INDIA,ER,JH,2028,8.057792736
INDIA,ER,JH,2029,8.573226087
INDIA,ER,JH,2030,9.117129855
INDIA,ER,JH,2031,9.690783842
INDIA,ER,JH,2032,10.28254998
INDIA,ER,JH,2033,10.87794218
INDIA,ER,JH,2034,11.47336615
INDIA,ER,JH,2035,12.0649529
INDIA,ER,JH,2036,12.65852948
INDIA,ER,JH,2037,13.27402771
INDIA,ER,JH,2038,13.91146475
INDIA,ER,JH,2039,14.57068066
INDIA,ER,JH,2040,15.25129678
INDIA,ER,JH,2041,15.95266566
INDIA,ER,WB,2022,10.30311893
INDIA,ER,WB,2023,10.88846962
INDIA,ER,WB,2024,11.4752202
INDIA,ER,WB,2025,12.23152537
INDIA,ER,WB,2026,13.05689078
INDIA,ER,WB,2027,13.91408559
INDIA,ER,WB,2028,14.81152117
INDIA,ER,WB,2029,15.75897071
INDIA,ER,WB,2030,16.75875346
INDIA,ER,WB,2031,17.8132219
INDIA,ER,WB,2032,18.9009834
INDIA,ER,WB,2033,19.99541018
INDIA,ER,WB,2034,21.08989537
INDIA,ER,WB,2035,22.17732712
INDIA,ER,WB,2036,23.2684165
INDIA,ER,WB,2037,24.3998014
INDIA,ER,WB,2038,25.57151337
INDIA,ER,WB,2039,26.78325842
INDIA,ER,WB,2040,28.03434049
INDIA,ER,WB,2041,29.32356949
INDIA,ER,SK,2022,0
INDIA,ER,SK,2023,0
INDIA,ER,SK,2024,0
INDIA,ER,SK,2025,0
INDIA,ER,SK,2026,0
INDIA,ER,SK,2027,0
INDIA,ER,SK,2028,0
INDIA,ER,SK,2029,0
INDIA,ER,SK,2030,0
INDIA,ER,SK,2031,0
INDIA,ER,SK,2032,0
INDIA,ER,SK,2033,0
INDIA,ER,SK,2034,0
INDIA,ER,SK,2035,0
INDIA,ER,SK,2036,0
INDIA,ER,SK,2037,0
INDIA,ER,SK,2038,0
INDIA,ER,SK,2039,0
INDIA,ER,SK,2040,0
INDIA,ER,SK,2041,0
INDIA,ER,BR,2022,4.473694122
INDIA,ER,BR,2023,4.727857932
INDIA,ER,BR,2024,4.98262958
INDIA,ER,BR,2025,5.31102315
INDIA,ER,BR,2026,5.669403211
INDIA,ER,BR,2027,6.041603843
INDIA,ER,BR,2028,6.431277331
INDIA,ER,BR,2029,6.842667266
INDIA,ER,BR,2030,7.276780687
INDIA,ER,BR,2031,7.734639061
INDIA,ER,BR,2032,8.206953537
INDIA,ER,BR,2033,8.68216213
INDIA,ER,BR,2034,9.157396083
INDIA,ER,BR,2035,9.629567382
INDIA,ER,BR,2036,10.10332685
INDIA,ER,BR,2037,10.59458294
INDIA,ER,BR,2038,11.10334937
INDIA,ER,BR,2039,11.62949846
INDIA,ER,BR,2040,12.172728
INDIA,ER,BR,2041,12.73252123
INDIA,NER,NE,2022,6.594780778
INDIA,NER,NE,2023,6.969449801
INDIA,NER,NE,2024,7.345014854
INDIA,NER,NE,2025,7.829107764
INDIA,NER,NE,2026,8.357404485
INDIA,NER,NE,2027,8.906074444
INDIA,NER,NE,2028,9.480501564
INDIA,NER,NE,2029,10.08694142
INDIA,NER,NE,2030,10.72687852
INDIA,NER,NE,2031,11.40181863
INDIA,NER,NE,2032,12.09806883
INDIA,NER,NE,2033,12.79858532
INDIA,NER,NE,2034,13.49913919
INDIA,NER,NE,2035,14.19517833
INDIA,NER,NE,2036,14.89355863
INDIA,NER,NE,2037,15.61773113
INDIA,NER,NE,2038,16.36771602
INDIA,NER,NE,2039,17.14332514
INDIA,NER,NE,2040,17.94411295
INDIA,NER,NE,2041,18.76931769
INDIA,NER,AS,2022,0
INDIA,NER,AS,2023,0
INDIA,NER,AS,2024,0
INDIA,NER,AS,2025,0
INDIA,NER,AS,2026,0
INDIA,NER,AS,2027,0
INDIA,NER,AS,2028,0
INDIA,NER,AS,2029,0
INDIA,NER,AS,2030,0
INDIA,NER,AS,2031,0
INDIA,NER,AS,2032,0
INDIA,NER,AS,2033,0
INDIA,NER,AS,2034,0
INDIA,NER,AS,2035,0
INDIA,NER,AS,2036,0
INDIA,NER,AS,2037,0
INDIA,NER,AS,2038,0
INDIA,NER,AS,2039,0
INDIA,NER,AS,2040,0
INDIA,NER,AS,2041,0
