ModelGeography,SubGeography1,SubGeography2,Year,IPT3W+2W+IPT4W+4W+BUS+RAIL
INDIA,NR,HR,2021,39975
INDIA,NR,HR,2022,39975
INDIA,NR,HR,2023,39975
INDIA,NR,HR,2024,39975
INDIA,NR,HR,2025,39975
INDIA,NR,HR,2026,39975
INDIA,NR,HR,2027,39975
INDIA,NR,HR,2028,39975
INDIA,NR,HR,2029,39975
INDIA,NR,HR,2030,39975
INDIA,NR,HR,2031,39312.74829039804
INDIA,NR,HR,2032,38661.467871024244
INDIA,NR,HR,2033,38020.97698438742
INDIA,NR,HR,2034,37391.09688410855
INDIA,NR,HR,2035,36771.65178503679
INDIA,NR,HR,2036,36162.468814191794
INDIA,NR,HR,2037,35563.37796251885
INDIA,NR,HR,2038,34974.212037443205
INDIA,NR,HR,2039,34394.80661621047
INDIA,NR,HR,2040,33825.00000000001
INDIA,NR,HR,2041,33264.63316879835
INDIA,NR,JK,2014,39975
INDIA,NR,JK,2015,39975
INDIA,NR,JK,2016,39975
INDIA,NR,JK,2017,39975
INDIA,NR,JK,2018,39975
INDIA,NR,JK,2019,39975
INDIA,NR,JK,2020,39975
INDIA,NR,JK,2021,39975
INDIA,NR,JK,2022,39975
INDIA,NR,JK,2023,39975
INDIA,NR,JK,2024,39975
INDIA,NR,JK,2025,39975
INDIA,NR,JK,2026,39975
INDIA,NR,JK,2027,39975
INDIA,NR,JK,2028,39975
INDIA,NR,JK,2029,39975
INDIA,NR,JK,2030,39975
INDIA,NR,JK,2031,39312.74829039804
INDIA,NR,JK,2032,38661.467871024244
INDIA,NR,JK,2033,38020.97698438742
INDIA,NR,JK,2034,37391.09688410855
INDIA,NR,JK,2035,36771.65178503679
INDIA,NR,JK,2036,36162.468814191794
INDIA,NR,JK,2037,35563.37796251885
INDIA,NR,JK,2038,34974.212037443205
INDIA,NR,JK,2039,34394.80661621047
INDIA,NR,JK,2040,33825.00000000001
INDIA,NR,JK,2041,33264.63316879835
INDIA,NR,PB,2014,39975
INDIA,NR,PB,2015,39975
INDIA,NR,PB,2016,39975
INDIA,NR,PB,2017,39975
INDIA,NR,PB,2018,39975
INDIA,NR,PB,2019,39975
INDIA,NR,PB,2020,39975
INDIA,NR,PB,2021,39975
INDIA,NR,PB,2022,39975
INDIA,NR,PB,2023,39975
INDIA,NR,PB,2024,39975
INDIA,NR,PB,2025,39975
INDIA,NR,PB,2026,39975
INDIA,NR,PB,2027,39975
INDIA,NR,PB,2028,39975
INDIA,NR,PB,2029,39975
INDIA,NR,PB,2030,39975
INDIA,NR,PB,2031,39312.74829039804
INDIA,NR,PB,2032,38661.467871024244
INDIA,NR,PB,2033,38020.97698438742
INDIA,NR,PB,2034,37391.09688410855
INDIA,NR,PB,2035,36771.65178503679
INDIA,NR,PB,2036,36162.468814191794
INDIA,NR,PB,2037,35563.37796251885
INDIA,NR,PB,2038,34974.212037443205
INDIA,NR,PB,2039,34394.80661621047
INDIA,NR,PB,2040,33825.00000000001
INDIA,NR,PB,2041,33264.63316879835
INDIA,NR,RJ,2014,39975
INDIA,NR,RJ,2015,39975
INDIA,NR,RJ,2016,39975
INDIA,NR,RJ,2017,39975
INDIA,NR,RJ,2018,39975
INDIA,NR,RJ,2019,39975
INDIA,NR,RJ,2020,39975
INDIA,NR,RJ,2021,39975
INDIA,NR,RJ,2022,39975
INDIA,NR,RJ,2023,39975
INDIA,NR,RJ,2024,39975
INDIA,NR,RJ,2025,39975
INDIA,NR,RJ,2026,39975
INDIA,NR,RJ,2027,39975
INDIA,NR,RJ,2028,39975
INDIA,NR,RJ,2029,39975
INDIA,NR,RJ,2030,39975
INDIA,NR,RJ,2031,39312.74829039804
INDIA,NR,RJ,2032,38661.467871024244
INDIA,NR,RJ,2033,38020.97698438742
INDIA,NR,RJ,2034,37391.09688410855
INDIA,NR,RJ,2035,36771.65178503679
INDIA,NR,RJ,2036,36162.468814191794
INDIA,NR,RJ,2037,35563.37796251885
INDIA,NR,RJ,2038,34974.212037443205
INDIA,NR,RJ,2039,34394.80661621047
INDIA,NR,RJ,2040,33825.00000000001
INDIA,NR,RJ,2041,33264.63316879835
INDIA,NR,UK,2014,39975
INDIA,NR,UK,2015,39975
INDIA,NR,UK,2016,39975
INDIA,NR,UK,2017,39975
INDIA,NR,UK,2018,39975
INDIA,NR,UK,2019,39975
INDIA,NR,UK,2020,39975
INDIA,NR,UK,2021,39975
INDIA,NR,UK,2022,39975
INDIA,NR,UK,2023,39975
INDIA,NR,UK,2024,39975
INDIA,NR,UK,2025,39975
INDIA,NR,UK,2026,39975
INDIA,NR,UK,2027,39975
INDIA,NR,UK,2028,39975
INDIA,NR,UK,2029,39975
INDIA,NR,UK,2030,39975
INDIA,NR,UK,2031,39312.74829039804
INDIA,NR,UK,2032,38661.467871024244
INDIA,NR,UK,2033,38020.97698438742
INDIA,NR,UK,2034,37391.09688410855
INDIA,NR,UK,2035,36771.65178503679
INDIA,NR,UK,2036,36162.468814191794
INDIA,NR,UK,2037,35563.37796251885
INDIA,NR,UK,2038,34974.212037443205
INDIA,NR,UK,2039,34394.80661621047
INDIA,NR,UK,2040,33825.00000000001
INDIA,NR,UK,2041,33264.63316879835
INDIA,NR,UP,2014,39975
INDIA,NR,UP,2015,39975
INDIA,NR,UP,2016,39975
INDIA,NR,UP,2017,39975
INDIA,NR,UP,2018,39975
INDIA,NR,UP,2019,39975
INDIA,NR,UP,2020,39975
INDIA,NR,UP,2021,39975
INDIA,NR,UP,2022,39975
INDIA,NR,UP,2023,39975
INDIA,NR,UP,2024,39975
INDIA,NR,UP,2025,39975
INDIA,NR,UP,2026,39975
INDIA,NR,UP,2027,39975
INDIA,NR,UP,2028,39975
INDIA,NR,UP,2029,39975
INDIA,NR,UP,2030,39975
INDIA,NR,UP,2031,39312.74829039804
INDIA,NR,UP,2032,38661.467871024244
INDIA,NR,UP,2033,38020.97698438742
INDIA,NR,UP,2034,37391.09688410855
INDIA,NR,UP,2035,36771.65178503679
INDIA,NR,UP,2036,36162.468814191794
INDIA,NR,UP,2037,35563.37796251885
INDIA,NR,UP,2038,34974.212037443205
INDIA,NR,UP,2039,34394.80661621047
INDIA,NR,UP,2040,33825.00000000001
INDIA,NR,UP,2041,33264.63316879835
INDIA,SR,AP,2014,39975
INDIA,SR,AP,2015,39975
INDIA,SR,AP,2016,39975
INDIA,SR,AP,2017,39975
INDIA,SR,AP,2018,39975
INDIA,SR,AP,2019,39975
INDIA,SR,AP,2020,39975
INDIA,SR,AP,2021,39975
INDIA,SR,AP,2022,39975
INDIA,SR,AP,2023,39975
INDIA,SR,AP,2024,39975
INDIA,SR,AP,2025,39975
INDIA,SR,AP,2026,39975
INDIA,SR,AP,2027,39975
INDIA,SR,AP,2028,39975
INDIA,SR,AP,2029,39975
INDIA,SR,AP,2030,39975
INDIA,SR,AP,2031,39312.74829039804
INDIA,SR,AP,2032,38661.467871024244
INDIA,SR,AP,2033,38020.97698438742
INDIA,SR,AP,2034,37391.09688410855
INDIA,SR,AP,2035,36771.65178503679
INDIA,SR,AP,2036,36162.468814191794
INDIA,SR,AP,2037,35563.37796251885
INDIA,SR,AP,2038,34974.212037443205
INDIA,SR,AP,2039,34394.80661621047
INDIA,SR,AP,2040,33825.00000000001
INDIA,SR,AP,2041,33264.63316879835
INDIA,SR,KA,2014,39975
INDIA,SR,KA,2015,39975
INDIA,SR,KA,2016,39975
INDIA,SR,KA,2017,39975
INDIA,SR,KA,2018,39975
INDIA,SR,KA,2019,39975
INDIA,SR,KA,2020,39975
INDIA,SR,KA,2021,39975
INDIA,SR,KA,2022,39975
INDIA,SR,KA,2023,39975
INDIA,SR,KA,2024,39975
INDIA,SR,KA,2025,39975
INDIA,SR,KA,2026,39975
INDIA,SR,KA,2027,39975
INDIA,SR,KA,2028,39975
INDIA,SR,KA,2029,39975
INDIA,SR,KA,2030,39975
INDIA,SR,KA,2031,39312.74829039804
INDIA,SR,KA,2032,38661.467871024244
INDIA,SR,KA,2033,38020.97698438742
INDIA,SR,KA,2034,37391.09688410855
INDIA,SR,KA,2035,36771.65178503679
INDIA,SR,KA,2036,36162.468814191794
INDIA,SR,KA,2037,35563.37796251885
INDIA,SR,KA,2038,34974.212037443205
INDIA,SR,KA,2039,34394.80661621047
INDIA,SR,KA,2040,33825.00000000001
INDIA,SR,KA,2041,33264.63316879835
INDIA,SR,KL,2014,39975
INDIA,SR,KL,2015,39975
INDIA,SR,KL,2016,39975
INDIA,SR,KL,2017,39975
INDIA,SR,KL,2018,39975
INDIA,SR,KL,2019,39975
INDIA,SR,KL,2020,39975
INDIA,SR,KL,2021,39975
INDIA,SR,KL,2022,39975
INDIA,SR,KL,2023,39975
INDIA,SR,KL,2024,39975
INDIA,SR,KL,2025,39975
INDIA,SR,KL,2026,39975
INDIA,SR,KL,2027,39975
INDIA,SR,KL,2028,39975
INDIA,SR,KL,2029,39975
INDIA,SR,KL,2030,39975
INDIA,SR,KL,2031,39312.74829039804
INDIA,SR,KL,2032,38661.467871024244
INDIA,SR,KL,2033,38020.97698438742
INDIA,SR,KL,2034,37391.09688410855
INDIA,SR,KL,2035,36771.65178503679
INDIA,SR,KL,2036,36162.468814191794
INDIA,SR,KL,2037,35563.37796251885
INDIA,SR,KL,2038,34974.212037443205
INDIA,SR,KL,2039,34394.80661621047
INDIA,SR,KL,2040,33825.00000000001
INDIA,SR,KL,2041,33264.63316879835
INDIA,SR,TN,2014,39975
INDIA,SR,TN,2015,39975
INDIA,SR,TN,2016,39975
INDIA,SR,TN,2017,39975
INDIA,SR,TN,2018,39975
INDIA,SR,TN,2019,39975
INDIA,SR,TN,2020,39975
INDIA,SR,TN,2021,39975
INDIA,SR,TN,2022,39975
INDIA,SR,TN,2023,39975
INDIA,SR,TN,2024,39975
INDIA,SR,TN,2025,39975
INDIA,SR,TN,2026,39975
INDIA,SR,TN,2027,39975
INDIA,SR,TN,2028,39975
INDIA,SR,TN,2029,39975
INDIA,SR,TN,2030,39975
INDIA,SR,TN,2031,39312.74829039804
INDIA,SR,TN,2032,38661.467871024244
INDIA,SR,TN,2033,38020.97698438742
INDIA,SR,TN,2034,37391.09688410855
INDIA,SR,TN,2035,36771.65178503679
INDIA,SR,TN,2036,36162.468814191794
INDIA,SR,TN,2037,35563.37796251885
INDIA,SR,TN,2038,34974.212037443205
INDIA,SR,TN,2039,34394.80661621047
INDIA,SR,TN,2040,33825.00000000001
INDIA,SR,TN,2041,33264.63316879835
INDIA,SR,TS,2014,39975
INDIA,SR,TS,2015,39975
INDIA,SR,TS,2016,39975
INDIA,SR,TS,2017,39975
INDIA,SR,TS,2018,39975
INDIA,SR,TS,2019,39975
INDIA,SR,TS,2020,39975
INDIA,SR,TS,2021,39975
INDIA,SR,TS,2022,39975
INDIA,SR,TS,2023,39975
INDIA,SR,TS,2024,39975
