EnergyCarrier,EmissionType,DemandSector,EnergyService,ServiceTech,ConsumerType1,ConsumerType2,ModelGeography,SubGeography1,SubGeography2,Year,Emission
LPG,GHG,D_TRANS,TRANS_FUEL,,ALL,,INDIA,,,2021,534.7770741404217
LPG,GHG,D_TRANS,TRANS_FUEL,,ALL,,INDIA,,,2022,511.80796855217193
LPG,GHG,D_TRANS,TRANS_FUEL,,ALL,,INDIA,,,2023,495.7668901556781
LPG,GHG,D_TRANS,TRANS_FUEL,,ALL,,INDIA,,,2024,480.4889311098663
LPG,GHG,D_TRANS,TRANS_FUEL,,ALL,,INDIA,,,2025,465.95262473269366
LPG,GHG,D_TRANS,TRANS_FUEL,,ALL,,INDIA,,,2026,452.0003252412002
LPG,GHG,D_TRANS,TRANS_FUEL,,ALL,,INDIA,,,2027,438.6461742510675
LPG,GHG,D_TRANS,TRANS_FUEL,,ALL,,INDIA,,,2028,425.68656577552474
LPG,GHG,D_TRANS,TRANS_FUEL,,ALL,,INDIA,,,2029,413.10984324327785
LPG,GHG,D_TRANS,TRANS_FUEL,,ALL,,INDIA,,,2030,400.90469445095516
LPG,GHG,D_TRANS,TRANS_FUEL,,ALL,,INDIA,,,2031,389.0601414267302
LPG,GHG,D_OTHER,OTHER_ALL,,ALL,,INDIA,,,2021,7054.213274280241
LPG,GHG,D_OTHER,OTHER_ALL,,ALL,,INDIA,,,2022,8025.932564333739
LPG,GHG,D_OTHER,OTHER_ALL,,ALL,,INDIA,,,2023,8776.21694952076
LPG,GHG,D_OTHER,OTHER_ALL,,ALL,,INDIA,,,2024,9526.425491866765
LPG,GHG,D_OTHER,OTHER_ALL,,ALL,,INDIA,,,2025,10269.90745371851
LPG,GHG,D_OTHER,OTHER_ALL,,ALL,,INDIA,,,2026,11007.681352895503
LPG,GHG,D_OTHER,OTHER_ALL,,ALL,,INDIA,,,2027,11733.301048265586
LPG,GHG,D_OTHER,OTHER_ALL,,ALL,,INDIA,,,2028,12452.611508015005
LPG,GHG,D_OTHER,OTHER_ALL,,ALL,,INDIA,,,2029,13162.580775124065
LPG,GHG,D_OTHER,OTHER_ALL,,ALL,,INDIA,,,2030,13860.496699324829
LPG,GHG,D_OTHER,OTHER_ALL,,ALL,,INDIA,,,2031,14543.973535363895
PP_OTHER,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2021,71499.80054375272
PP_OTHER,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2022,79618.19780777102
PP_OTHER,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2023,86083.05747222346
PP_OTHER,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2024,92818.27804268495
PP_OTHER,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2025,99805.05018689245
PP_OTHER,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2026,107092.15494530674
PP_OTHER,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2027,114652.81543546401
PP_OTHER,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2028,122585.36653575329
PP_OTHER,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2029,130897.12396666032
PP_OTHER,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2030,139594.94386163633
PP_OTHER,GHG,D_IND,IND_ALL,,ALL,,INDIA,,,2031,148685.1989375053
PP_OTHER,GHG,D_AGRI,AGRI_ALL,,ALL,,INDIA,,,2021,288.33166497498075
