EnergyService,EnergyCarrier,ModelGeography,SubGeography1,SubGeography2,ConsumerType1,Year,EnergyDemand
RES_OTHER,ELECTRICITY,INDIA,NR,PB,URBAN,2034,6028.577075
RES_OTHER,ELECTRICITY,INDIA,NR,PB,RURAL,2035,5580.363164
RES_OTHER,ELECTRICITY,INDIA,NR,PB,URBAN,2035,6216.787104
RES_OTHER,ELECTRICITY,INDIA,NR,PB,RURAL,2036,5734.653701
RES_OTHER,ELECTRICITY,INDIA,NR,PB,URBAN,2036,6410.872983
RES_OTHER,ELECTRICITY,INDIA,NR,PB,RURAL,2037,5893.210191
RES_OTHER,ELECTRICITY,INDIA,NR,PB,URBAN,2037,6611.018154
RES_OTHER,ELECTRICITY,INDIA,NR,PB,RURAL,2038,6056.150584
RES_OTHER,ELECTRICITY,INDIA,NR,PB,URBAN,2038,6817.411786
RES_OTHER,ELECTRICITY,INDIA,NR,PB,RURAL,2039,6223.596089
RES_OTHER,ELECTRICITY,INDIA,NR,PB,URBAN,2039,7030.248954
RES_OTHER,ELECTRICITY,INDIA,NR,PB,RURAL,2040,6395.671266
RES_OTHER,ELECTRICITY,INDIA,NR,PB,URBAN,2040,7249.730822
RES_OTHER,ELECTRICITY,INDIA,NR,PB,RURAL,2041,6572.504122
RES_OTHER,ELECTRICITY,INDIA,NR,PB,URBAN,2041,7476.064836
RES_OTHER,ELECTRICITY,INDIA,NR,RJ,RURAL,2024,988.0991484
RES_OTHER,ELECTRICITY,INDIA,NR,RJ,URBAN,2024,730.0640123
RES_OTHER,ELECTRICITY,INDIA,NR,RJ,RURAL,2025,1031.614196
RES_OTHER,ELECTRICITY,INDIA,NR,RJ,URBAN,2025,762.0414079
RES_OTHER,ELECTRICITY,INDIA,NR,RJ,RURAL,2026,1077.045609
RES_OTHER,ELECTRICITY,INDIA,NR,RJ,URBAN,2026,795.4194395
RES_OTHER,ELECTRICITY,INDIA,NR,RJ,RURAL,2027,1124.477783
RES_OTHER,ELECTRICITY,INDIA,NR,RJ,URBAN,2027,830.2594558
RES_OTHER,ELECTRICITY,INDIA,NR,RJ,RURAL,2028,1173.99883
RES_OTHER,ELECTRICITY,INDIA,NR,RJ,URBAN,2028,866.6254932
RES_OTHER,ELECTRICITY,INDIA,NR,RJ,RURAL,2029,1225.700741
RES_OTHER,ELECTRICITY,INDIA,NR,RJ,URBAN,2029,904.5843924
RES_OTHER,ELECTRICITY,INDIA,NR,RJ,RURAL,2030,1279.679561
RES_OTHER,ELECTRICITY,INDIA,NR,RJ,URBAN,2030,944.2059222
RES_OTHER,ELECTRICITY,INDIA,NR,RJ,RURAL,2031,1336.035562
RES_OTHER,ELECTRICITY,INDIA,NR,RJ,URBAN,2031,985.5629072
RES_OTHER,ELECTRICITY,INDIA,NR,RJ,RURAL,2032,1394.873434
RES_OTHER,ELECTRICITY,INDIA,NR,RJ,URBAN,2032,1028.731362
RES_OTHER,ELECTRICITY,INDIA,NR,RJ,RURAL,2033,1456.302476
RES_OTHER,ELECTRICITY,INDIA,NR,RJ,URBAN,2033,1073.790629
RES_OTHER,ELECTRICITY,INDIA,NR,RJ,RURAL,2034,1520.4368
RES_OTHER,ELECTRICITY,INDIA,NR,RJ,URBAN,2034,1120.82353
RES_OTHER,ELECTRICITY,INDIA,NR,RJ,RURAL,2035,1587.395546
RES_OTHER,ELECTRICITY,INDIA,NR,RJ,URBAN,2035,1169.916509
RES_OTHER,ELECTRICITY,INDIA,NR,RJ,RURAL,2036,1657.303097
RES_OTHER,ELECTRICITY,INDIA,NR,RJ,URBAN,2036,1221.159801
RES_OTHER,ELECTRICITY,INDIA,NR,RJ,RURAL,2037,1730.289319
RES_OTHER,ELECTRICITY,INDIA,NR,RJ,URBAN,2037,1274.64759
RES_OTHER,ELECTRICITY,INDIA,NR,RJ,RURAL,2038,1806.489791
RES_OTHER,ELECTRICITY,INDIA,NR,RJ,URBAN,2038,1330.478188
RES_OTHER,ELECTRICITY,INDIA,NR,RJ,RURAL,2039,1886.046067
RES_OTHER,ELECTRICITY,INDIA,NR,RJ,URBAN,2039,1388.754211
RES_OTHER,ELECTRICITY,INDIA,NR,RJ,RURAL,2040,1969.105935
RES_OTHER,ELECTRICITY,INDIA,NR,RJ,URBAN,2040,1449.582772
RES_OTHER,ELECTRICITY,INDIA,NR,RJ,RURAL,2041,2055.823688
RES_OTHER,ELECTRICITY,INDIA,NR,RJ,URBAN,2041,1513.075672
RES_OTHER,ELECTRICITY,INDIA,NR,UP,RURAL,2024,8278.127331
RES_OTHER,ELECTRICITY,INDIA,NR,UP,URBAN,2024,6053.704135
RES_OTHER,ELECTRICITY,INDIA,NR,UP,RURAL,2025,8752.311357
RES_OTHER,ELECTRICITY,INDIA,NR,UP,URBAN,2025,6437.9506
RES_OTHER,ELECTRICITY,INDIA,NR,UP,RURAL,2026,9253.657383
RES_OTHER,ELECTRICITY,INDIA,NR,UP,URBAN,2026,6846.586321
RES_OTHER,ELECTRICITY,INDIA,NR,UP,RURAL,2027,9783.72129
RES_OTHER,ELECTRICITY,INDIA,NR,UP,URBAN,2027,7281.159358
RES_OTHER,ELECTRICITY,INDIA,NR,UP,RURAL,2028,10344.14808
RES_OTHER,ELECTRICITY,INDIA,NR,UP,URBAN,2028,7743.316028
RES_OTHER,ELECTRICITY,INDIA,NR,UP,RURAL,2029,10936.677
RES_OTHER,ELECTRICITY,INDIA,NR,UP,URBAN,2029,8234.807145
RES_OTHER,ELECTRICITY,INDIA,NR,UP,RURAL,2030,11563.14689
RES_OTHER,ELECTRICITY,INDIA,NR,UP,URBAN,2030,8757.494654
RES_OTHER,ELECTRICITY,INDIA,NR,UP,RURAL,2031,12225.50195
RES_OTHER,ELECTRICITY,INDIA,NR,UP,URBAN,2031,9313.358681
RES_OTHER,ELECTRICITY,INDIA,NR,UP,RURAL,2032,12925.79774
RES_OTHER,ELECTRICITY,INDIA,NR,UP,URBAN,2032,9904.505038
RES_OTHER,ELECTRICITY,INDIA,NR,UP,RURAL,2033,13666.20757
RES_OTHER,ELECTRICITY,INDIA,NR,UP,URBAN,2033,10533.1732
RES_OTHER,ELECTRICITY,INDIA,NR,UP,RURAL,2034,14449.02922
RES_OTHER,ELECTRICITY,INDIA,NR,UP,URBAN,2034,11201.74478
RES_OTHER,ELECTRICITY,INDIA,NR,UP,RURAL,2035,15276.69212
RES_OTHER,ELECTRICITY,INDIA,NR,UP,URBAN,2035,11912.75258
RES_OTHER,ELECTRICITY,INDIA,NR,UP,RURAL,2036,16151.76484
RES_OTHER,ELECTRICITY,INDIA,NR,UP,URBAN,2036,12668.89014
RES_OTHER,ELECTRICITY,INDIA,NR,UP,RURAL,2037,17076.96308
RES_OTHER,ELECTRICITY,INDIA,NR,UP,URBAN,2037,13473.02198
RES_OTHER,ELECTRICITY,INDIA,NR,UP,RURAL,2038,18055.15813
RES_OTHER,ELECTRICITY,INDIA,NR,UP,URBAN,2038,14328.19444
RES_OTHER,ELECTRICITY,INDIA,NR,UP,RURAL,2039,19089.3857
RES_OTHER,ELECTRICITY,INDIA,NR,UP,URBAN,2039,15237.64722
RES_OTHER,ELECTRICITY,INDIA,NR,UP,RURAL,2040,20182.85545
RES_OTHER,ELECTRICITY,INDIA,NR,UP,URBAN,2040,16204.82565
RES_OTHER,ELECTRICITY,INDIA,NR,UP,RURAL,2041,21338.96084
RES_OTHER,ELECTRICITY,INDIA,NR,UP,URBAN,2041,17233.39375
RES_OTHER,ELECTRICITY,INDIA,NR,UK,RURAL,2024,693.9552182
RES_OTHER,ELECTRICITY,INDIA,NR,UK,URBAN,2024,719.703002
RES_OTHER,ELECTRICITY,INDIA,NR,UK,RURAL,2025,707.6932289
RES_OTHER,ELECTRICITY,INDIA,NR,UK,URBAN,2025,744.7347952
RES_OTHER,ELECTRICITY,INDIA,NR,UK,RURAL,2026,721.7032067
RES_OTHER,ELECTRICITY,INDIA,NR,UK,URBAN,2026,770.6372125
RES_OTHER,ELECTRICITY,INDIA,NR,UK,RURAL,2027,735.9905356
RES_OTHER,ELECTRICITY,INDIA,NR,UK,URBAN,2027,797.4405346
RES_OTHER,ELECTRICITY,INDIA,NR,UK,RURAL,2028,750.5607061
RES_OTHER,ELECTRICITY,INDIA,NR,UK,URBAN,2028,825.1760957
RES_OTHER,ELECTRICITY,INDIA,NR,UK,RURAL,2029,765.4193177
RES_OTHER,ELECTRICITY,INDIA,NR,UK,URBAN,2029,853.8763198
RES_OTHER,ELECTRICITY,INDIA,NR,UK,RURAL,2030,780.5720805
RES_OTHER,ELECTRICITY,INDIA,NR,UK,URBAN,2030,883.5747586
RES_OTHER,ELECTRICITY,INDIA,NR,UK,RURAL,2031,796.0248177
RES_OTHER,ELECTRICITY,INDIA,NR,UK,URBAN,2031,914.3061306
RES_OTHER,ELECTRICITY,INDIA,NR,UK,RURAL,2032,811.7834679
RES_OTHER,ELECTRICITY,INDIA,NR,UK,URBAN,2032,946.1063621
RES_OTHER,ELECTRICITY,INDIA,NR,UK,RURAL,2033,827.854087
RES_OTHER,ELECTRICITY,INDIA,NR,UK,URBAN,2033,979.0126287
RES_OTHER,ELECTRICITY,INDIA,NR,UK,RURAL,2034,844.2428511
RES_OTHER,ELECTRICITY,INDIA,NR,UK,URBAN,2034,1013.063399
RES_OTHER,ELECTRICITY,INDIA,NR,UK,RURAL,2035,860.9560583
RES_OTHER,ELECTRICITY,INDIA,NR,UK,URBAN,2035,1048.29848
RES_OTHER,ELECTRICITY,INDIA,NR,UK,RURAL,2036,878.0001316
RES_OTHER,ELECTRICITY,INDIA,NR,UK,URBAN,2036,1084.759063
RES_OTHER,ELECTRICITY,INDIA,NR,UK,RURAL,2037,895.381621
RES_OTHER,ELECTRICITY,INDIA,NR,UK,URBAN,2037,1122.487771
RES_OTHER,ELECTRICITY,INDIA,NR,UK,RURAL,2038,913.1072062
RES_OTHER,ELECTRICITY,INDIA,NR,UK,URBAN,2038,1161.528711
RES_OTHER,ELECTRICITY,INDIA,NR,UK,RURAL,2039,931.1836991
RES_OTHER,ELECTRICITY,INDIA,NR,UK,URBAN,2039,1201.927524
RES_OTHER,ELECTRICITY,INDIA,NR,UK,RURAL,2040,949.6180467
RES_OTHER,ELECTRICITY,INDIA,NR,UK,URBAN,2040,1243.731436
RES_OTHER,ELECTRICITY,INDIA,NR,UK,RURAL,2041,968.4173331
RES_OTHER,ELECTRICITY,INDIA,NR,UK,URBAN,2041,1286.989319
RES_OTHER,ELECTRICITY,INDIA,WR,CG,RURAL,2024,1225.661876
RES_OTHER,ELECTRICITY,INDIA,WR,CG,URBAN,2024,903.4266885
RES_OTHER,ELECTRICITY,INDIA,WR,CG,RURAL,2025,1286.902376
RES_OTHER,ELECTRICITY,INDIA,WR,CG,URBAN,2025,952.5373049
RES_OTHER,ELECTRICITY,INDIA,WR,CG,RURAL,2026,1351.202772
RES_OTHER,ELECTRICITY,INDIA,WR,CG,URBAN,2026,1004.317593
RES_OTHER,ELECTRICITY,INDIA,WR,CG,RURAL,2027,1418.715954
RES_OTHER,ELECTRICITY,INDIA,WR,CG,URBAN,2027,1058.912677
RES_OTHER,ELECTRICITY,INDIA,WR,CG,RURAL,2028,1489.602449
RES_OTHER,ELECTRICITY,INDIA,WR,CG,URBAN,2028,1116.475571
RES_OTHER,ELECTRICITY,INDIA,WR,CG,RURAL,2029,1564.030805
RES_OTHER,ELECTRICITY,INDIA,WR,CG,URBAN,2029,1177.167605
RES_OTHER,ELECTRICITY,INDIA,WR,CG,RURAL,2030,1642.177992
RES_OTHER,ELECTRICITY,INDIA,WR,CG,URBAN,2030,1241.158881
RES_OTHER,ELECTRICITY,INDIA,WR,CG,RURAL,2031,1724.229823
RES_OTHER,ELECTRICITY,INDIA,WR,CG,URBAN,2031,1308.628748
RES_OTHER,ELECTRICITY,INDIA,WR,CG,RURAL,2032,1810.381394
RES_OTHER,ELECTRICITY,INDIA,WR,CG,URBAN,2032,1379.766301
RES_OTHER,ELECTRICITY,INDIA,WR,CG,RURAL,2033,1900.83755
RES_OTHER,ELECTRICITY,INDIA,WR,CG,URBAN,2033,1454.770919
RES_OTHER,ELECTRICITY,INDIA,WR,CG,RURAL,2034,1995.813369
RES_OTHER,ELECTRICITY,INDIA,WR,CG,URBAN,2034,1533.852816
RES_OTHER,ELECTRICITY,INDIA,WR,CG,RURAL,2035,2095.53468
RES_OTHER,ELECTRICITY,INDIA,WR,CG,URBAN,2035,1617.233636
RES_OTHER,ELECTRICITY,INDIA,WR,CG,RURAL,2036,2200.23859
RES_OTHER,ELECTRICITY,INDIA,WR,CG,URBAN,2036,1705.147068
RES_OTHER,ELECTRICITY,INDIA,WR,CG,RURAL,2037,2310.174057
RES_OTHER,ELECTRICITY,INDIA,WR,CG,URBAN,2037,1797.839507
RES_OTHER,ELECTRICITY,INDIA,WR,CG,RURAL,2038,2425.602477
RES_OTHER,ELECTRICITY,INDIA,WR,CG,URBAN,2038,1895.570743
RES_OTHER,ELECTRICITY,INDIA,WR,CG,RURAL,2039,2546.798307
RES_OTHER,ELECTRICITY,INDIA,WR,CG,URBAN,2039,1998.614685
RES_OTHER,ELECTRICITY,INDIA,WR,CG,RURAL,2040,2674.049716
RES_OTHER,ELECTRICITY,INDIA,WR,CG,URBAN,2040,2107.260135
RES_OTHER,ELECTRICITY,INDIA,WR,CG,RURAL,2041,2807.659274
RES_OTHER,ELECTRICITY,INDIA,WR,CG,URBAN,2041,2221.811593
RES_OTHER,ELECTRICITY,INDIA,WR,GJ,RURAL,2024,744.8928096
RES_OTHER,ELECTRICITY,INDIA,WR,GJ,URBAN,2024,1469.662174
