ServiceTechCategory,ConsumerType1,ModelGeography,SubGeography1,SubGeography2,Year,ServiceTech,TechSplitRatio
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2029,CK_PNG,0
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2029,CK_BIOGAS,0.006471777
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2029,CK_INDUCTION,0.011603608
FRIDGE,RURAL,INDIA,NER,AS,2030,FR_DIRECTCOOL,0.675318288
FRIDGE,RURAL,INDIA,NER,AS,2030,FR_FROSTFREE,0.324681712
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2030,CK_LPG,0.980001454
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2030,CK_PNG,0
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2030,CK_BIOGAS,0.006323257
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2030,CK_INDUCTION,0.013675289
FRIDGE,RURAL,INDIA,NER,AS,2031,FR_DIRECTCOOL,0.656609504
FRIDGE,RURAL,INDIA,NER,AS,2031,FR_FROSTFREE,0.343390496
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2031,CK_LPG,0.977644291
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2031,CK_PNG,0
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2031,CK_BIOGAS,0.006194972
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2031,CK_INDUCTION,0.016160737
FRIDGE,RURAL,INDIA,NER,AS,2032,FR_DIRECTCOOL,0.638139387
FRIDGE,RURAL,INDIA,NER,AS,2032,FR_FROSTFREE,0.361860613
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2032,CK_LPG,0.97275607
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2032,CK_PNG,0
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2032,CK_BIOGAS,0.005987638
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2032,CK_INDUCTION,0.021256292
FRIDGE,RURAL,INDIA,NER,AS,2033,FR_DIRECTCOOL,0.620665519
FRIDGE,RURAL,INDIA,NER,AS,2033,FR_FROSTFREE,0.379334481
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2033,CK_LPG,0.967892289
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2033,CK_PNG,0
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2033,CK_BIOGAS,0.005787244
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2033,CK_INDUCTION,0.026320467
FRIDGE,RURAL,INDIA,NER,AS,2034,FR_DIRECTCOOL,0.603365646
FRIDGE,RURAL,INDIA,NER,AS,2034,FR_FROSTFREE,0.396634354
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2034,CK_LPG,0.963052828
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2034,CK_PNG,0
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2034,CK_BIOGAS,0.005593556
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2034,CK_INDUCTION,0.031353616
FRIDGE,RURAL,INDIA,NER,AS,2035,FR_DIRECTCOOL,0.586307004
FRIDGE,RURAL,INDIA,NER,AS,2035,FR_FROSTFREE,0.413692996
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2035,CK_LPG,0.958237564
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2035,CK_PNG,0
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2035,CK_BIOGAS,0.005406351
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2035,CK_INDUCTION,0.036356086
FRIDGE,RURAL,INDIA,NER,AS,2036,FR_DIRECTCOOL,0.569528247
FRIDGE,RURAL,INDIA,NER,AS,2036,FR_FROSTFREE,0.430471753
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2036,CK_LPG,0.953446376
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2036,CK_PNG,0
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2036,CK_BIOGAS,0.005225411
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2036,CK_INDUCTION,0.041328213
FRIDGE,RURAL,INDIA,NER,AS,2037,FR_DIRECTCOOL,0.55307121
FRIDGE,RURAL,INDIA,NER,AS,2037,FR_FROSTFREE,0.44692879
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2037,CK_LPG,0.948679144
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2037,CK_PNG,0
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2037,CK_BIOGAS,0.005050526
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2037,CK_INDUCTION,0.04627033
FRIDGE,RURAL,INDIA,NER,AS,2038,FR_DIRECTCOOL,0.53216286
FRIDGE,RURAL,INDIA,NER,AS,2038,FR_FROSTFREE,0.46783714
COOKSTOVE_MOD,RURAL,INDIA,NER,AS,2038,CK_LPG,0.943935748
