EnergyConvTech,Year,ModelGeography,SubGeography1,MinCapacity
EG_PHWR,2022,INDIA,SR,0.0
EG_PHWR,2022,INDIA,WR,0.7
EG_PHWR,2023,INDIA,ER,0.0
EG_PHWR,2023,INDIA,NER,0.0
EG_PHWR,2023,INDIA,NR,0.7
EG_PHWR,2023,INDIA,SR,0.0
EG_PHWR,2023,INDIA,WR,0.0
EG_PHWR,2024,INDIA,ER,0.0
EG_PHWR,2024,INDIA,NER,0.0
EG_PHWR,2024,INDIA,NR,0.0
EG_PHWR,2024,INDIA,SR,0.0
EG_PHWR,2024,INDIA,WR,0.7
EG_PHWR,2025,INDIA,ER,0.0
EG_PHWR,2025,INDIA,NER,0.0
EG_PHWR,2025,INDIA,NR,0.7
EG_PHWR,2025,INDIA,SR,0.0
EG_PHWR,2025,INDIA,WR,0.0
EG_PHWR,2026,INDIA,ER,0.0
EG_PHWR,2026,INDIA,NER,0.0
EG_PHWR,2026,INDIA,NR,0.0
EG_PHWR,2026,INDIA,SR,0.0
EG_PHWR,2026,INDIA,WR,0.0
EG_PHWR,2027,INDIA,ER,0.0
EG_PHWR,2027,INDIA,NER,0.0
EG_PHWR,2027,INDIA,NR,0.0
EG_PHWR,2027,INDIA,SR,1.0
EG_PHWR,2027,INDIA,WR,0.0
EG_PHWR,2028,INDIA,ER,0.0
EG_PHWR,2028,INDIA,NER,0.0
EG_PHWR,2028,INDIA,NR,0.0
EG_PHWR,2028,INDIA,SR,1.0
EG_PHWR,2028,INDIA,WR,0.0
EG_PHWR,2029,INDIA,ER,0.0
EG_PHWR,2029,INDIA,NER,0.0
EG_PHWR,2029,INDIA,NR,0.0
EG_PHWR,2029,INDIA,SR,0.0
EG_PHWR,2029,INDIA,WR,0.0
EG_PHWR,2030,INDIA,ER,0.0
EG_PHWR,2030,INDIA,NER,0.0
EG_PHWR,2030,INDIA,NR,0.0
EG_PHWR,2030,INDIA,SR,0.0
EG_PHWR,2030,INDIA,WR,0.0
EG_PHWR,2031,INDIA,ER,0.0
EG_PHWR,2031,INDIA,NER,0.0
EG_PHWR,2031,INDIA,NR,0.0
EG_PHWR,2031,INDIA,SR,0.0
EG_PHWR,2031,INDIA,WR,0.0
EG_LH,2021,INDIA,ER,0.0
EG_LH,2021,INDIA,NER,0.431
EG_LH,2021,INDIA,NR,0.133
EG_LH,2021,INDIA,SR,0.0
EG_LH,2021,INDIA,WR,0.1185
EG_LH,2022,INDIA,ER,0.02
EG_LH,2022,INDIA,NER,0.525
EG_LH,2022,INDIA,NR,1.063416666
EG_LH,2022,INDIA,SR,0.176666667
EG_LH,2022,INDIA,WR,0.066666667
EG_LH,2023,INDIA,ER,0.02
EG_LH,2023,INDIA,NER,0.525
EG_LH,2023,INDIA,NR,1.063416666
EG_LH,2023,INDIA,SR,0.176666667
EG_LH,2023,INDIA,WR,0.066666667
EG_LH,2024,INDIA,ER,0.02
EG_LH,2024,INDIA,NER,0.525
EG_LH,2024,INDIA,NR,1.063416666
EG_LH,2024,INDIA,SR,0.176666667
EG_LH,2024,INDIA,WR,0.066666667
EG_LH,2025,INDIA,ER,0.02
EG_LH,2025,INDIA,NER,0.525
EG_LH,2025,INDIA,NR,1.063416666
EG_LH,2025,INDIA,SR,0.176666667
EG_LH,2025,INDIA,WR,0.066666667
EG_LH,2026,INDIA,ER,0.02
EG_LH,2026,INDIA,NER,0.525
EG_LH,2026,INDIA,NR,1.063416666
EG_LH,2026,INDIA,SR,0.176666667
EG_LH,2026,INDIA,WR,0.066666667
EG_LH,2027,INDIA,ER,0.02
EG_LH,2027,INDIA,NER,0.525
EG_LH,2027,INDIA,NR,1.063416666
EG_LH,2027,INDIA,SR,0.176666667
EG_LH,2027,INDIA,WR,0.066666667
EG_LH,2028,INDIA,ER,0.0
EG_LH,2028,INDIA,NER,0.0
EG_LH,2028,INDIA,NR,0.0
EG_LH,2028,INDIA,SR,0.0
EG_LH,2028,INDIA,WR,0.0
EG_LH,2029,INDIA,ER,0.0
EG_LH,2029,INDIA,NER,0.0
EG_LH,2029,INDIA,NR,0.0
EG_LH,2029,INDIA,SR,0.0
EG_LH,2029,INDIA,WR,0.0
EG_LH,2030,INDIA,ER,0.0
EG_LH,2030,INDIA,NER,0.0
EG_LH,2030,INDIA,NR,0.0
EG_LH,2030,INDIA,SR,0.0
EG_LH,2030,INDIA,WR,0.0
EG_LH,2031,INDIA,ER,0.0
EG_LH,2031,INDIA,NER,0.0
EG_LH,2031,INDIA,NR,0.0
EG_LH,2031,INDIA,SR,0.0
EG_LH,2031,INDIA,WR,0.0
EG_COAL,2021,INDIA,ER,0.613304924
EG_COAL,2021,INDIA,NER,0.004828801000000001
EG_COAL,2021,INDIA,NR,1.3173120156
EG_COAL,2021,INDIA,SR,0.8920929089999999
EG_COAL,2021,INDIA,WR,1.317829891
EG_COAL,2022,INDIA,ER,2.37
EG_COAL,2022,INDIA,NER,0.0
EG_COAL,2022,INDIA,NR,2.64
EG_COAL,2022,INDIA,SR,4.605
EG_COAL,2022,INDIA,WR,1.6
EG_COAL,2023,INDIA,ER,4.35
EG_COAL,2023,INDIA,NER,0.0
EG_COAL,2023,INDIA,NR,5.28
EG_COAL,2023,INDIA,SR,3.1900000000000004
EG_COAL,2023,INDIA,WR,0.0
EG_COAL,2024,INDIA,ER,2.26
EG_COAL,2024,INDIA,NER,0.0
EG_COAL,2024,INDIA,NR,0.0
EG_COAL,2024,INDIA,SR,1.46
EG_COAL,2024,INDIA,WR,0.66
