Year,ConsumerType1,ModelGeography,SubGeography1,SubGeography2,Population,NumConsumers
2031,RURAL,INDIA,ER,JH,31205000,7397823
2035,URBAN,INDIA,WR,CG,10385000,2713298
2032,RURAL,INDIA,ER,JH,31431000,7537989
2036,URBAN,INDIA,WR,CG,10579000,2785173
2033,RURAL,INDIA,ER,JH,31640000,7676290
2037,URBAN,INDIA,WR,CG,10773000,2857991
2034,RURAL,INDIA,ER,JH,31846000,7816050
2038,URBAN,INDIA,WR,CG,10976657,2934343
2035,RURAL,INDIA,ER,JH,32051000,7957774
2039,URBAN,INDIA,WR,CG,11184164,3012735
2036,RURAL,INDIA,ER,JH,32254000,8101234
2040,URBAN,INDIA,WR,CG,11395594,3093221
2037,RURAL,INDIA,ER,JH,32458000,8247207
2041,URBAN,INDIA,WR,CG,11611021,3175857
2038,RURAL,INDIA,ER,JH,32671672,8397965
2021,URBAN,INDIA,WR,MP,24143000,5529587
2039,RURAL,INDIA,ER,JH,32886750,8551479
2022,URBAN,INDIA,WR,MP,24546000,5632991
2040,RURAL,INDIA,ER,JH,33103243,8707799
2023,URBAN,INDIA,WR,MP,24938000,5734253
2041,RURAL,INDIA,ER,JH,33321162,8866976
2024,URBAN,INDIA,WR,MP,25332000,5836353
2025,URBAN,INDIA,WR,MP,25729000,5939527
2026,URBAN,INDIA,WR,MP,26126000,6043086
2021,RURAL,INDIA,SR,KA,37810000,9054488
2027,URBAN,INDIA,WR,MP,26499000,6141469
2022,RURAL,INDIA,SR,KA,37753000,9161594
2028,URBAN,INDIA,WR,MP,26855000,6236268
2023,RURAL,INDIA,SR,KA,37667000,9262815
2029,URBAN,INDIA,WR,MP,27213000,6331884
2024,RURAL,INDIA,SR,KA,37578000,9364358
2030,URBAN,INDIA,WR,MP,27573000,6428319
2025,RURAL,INDIA,SR,KA,37483000,9465446
2031,URBAN,INDIA,WR,MP,27934000,6525344
2026,RURAL,INDIA,SR,KA,37383000,9566283
2032,URBAN,INDIA,WR,MP,28275000,6618046
2027,RURAL,INDIA,SR,KA,37253000,9660347
2033,URBAN,INDIA,WR,MP,28602000,6707806
2028,RURAL,INDIA,SR,KA,37099000,9748910
2034,URBAN,INDIA,WR,MP,28930000,6798129
2029,RURAL,INDIA,SR,KA,36940000,9836783
2035,URBAN,INDIA,WR,MP,29260000,6889253
2030,RURAL,INDIA,SR,KA,36777000,9924186
2036,URBAN,INDIA,WR,MP,29592000,6981183
2031,RURAL,INDIA,SR,KA,36611000,10011348
2037,URBAN,INDIA,WR,MP,29923000,7073213
2032,RURAL,INDIA,SR,KA,36416000,10091032
2038,URBAN,INDIA,WR,MP,30268006,7168896
2033,RURAL,INDIA,SR,KA,36200000,10165161
